eksponat,primerek,embed,url,id,duration,date,year,proizvajalec,description
Resnična resničnost,74. oddaja (2001),https://4d.rtvslo.si/embed/174481907,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/174481907,174481907,2117,,2001,RTV Slovenija,
Resnična resničnost,68. oddaja (2000),https://4d.rtvslo.si/embed/174481906,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/174481906,174481906,2066,,2000,RTV Slovenija,
Resnična resničnost,63. oddaja (2000),https://4d.rtvslo.si/embed/174481904,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/174481904,174481904,1951,,2000,RTV Slovenija,
Resnična resničnost,55. oddaja (1999),https://4d.rtvslo.si/embed/174481855,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/174481855,174481855,2923,,1999,RTV Slovenija,
Resnična resničnost,40. oddaja (1998),https://4d.rtvslo.si/embed/174481730,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/174481730,174481730,3001,,1998,RTV Slovenija,
Resnična resničnost,39. oddaja (1998),https://4d.rtvslo.si/embed/174481732,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/174481732,174481732,2975,,1998,RTV Slovenija,
Resnična resničnost,1. oddaja (1997),https://4d.rtvslo.si/embed/174481546,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/174481546,174481546,1857,,1997,RTV Slovenija,
Resnična resničnost,"Resnična resničnost, 28. oddaja",https://4d.rtvslo.si/embed/128128189,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/128128189,128128189,1874,,,RTV Slovenija,
Resnična resničnost,"Resnična resničnost, 17. oddaja",https://4d.rtvslo.si/embed/129503240,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/129503240,129503240,1925,,,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/24655464,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/24655464,24655464,2003,2008-12-15,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/23846554,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/23846554,23846554,1723,2008-12-01,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/23112780,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/23112780,23112780,1656,2008-11-17,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/22481209,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/22481209,22481209,1889,2008-11-03,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/21377649,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/21377649,21377649,1664,2008-10-20,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/20728532,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/20728532,20728532,1875,2008-10-06,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/19792769,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/19792769,19792769,1764,2008-09-15,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/19180825,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/19180825,19180825,1623,2008-09-02,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/15076113,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/15076113,15076113,1917,2008-05-19,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/14539745,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/14539745,14539745,1789,2008-05-05,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/13995561,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/13995561,13995561,1687,2008-04-21,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/13480904,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/13480904,13480904,1919,2008-04-07,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/12800735,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/12800735,12800735,1781,2008-03-17,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/12295988,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/12295988,12295988,1848,2008-03-03,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/11756969,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/11756969,11756969,1701,2008-02-18,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/11783768,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/11783768,11783768,1700,2008-02-18,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/11284305,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/11284305,11284305,1832,2008-02-04,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/10780515,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/10780515,10780515,1820,2008-01-21,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/10334902,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/10334902,10334902,1667,2008-01-07,2008,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/9655662,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/9655662,9655662,1739,2007-12-18,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/9183727,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/9183727,9183727,1573,2007-12-04,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/8710744,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/8710744,8710744,1663,2007-11-20,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/8284073,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/8284073,8284073,1524,2007-11-06,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/7688681,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/7688681,7688681,1605,2007-10-16,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/7328839,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/7328839,7328839,1460,2007-10-02,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/6978981,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/6978981,6978981,1675,2007-09-18,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/6643739,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/6643739,6643739,1716,2007-09-04,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/4190102,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/4190102,4190102,1571,2007-05-22,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/3904134,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/3904134,3904134,1684,2007-05-08,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/3497832,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/3497832,3497832,1634,2007-04-17,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/3243764,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/3243764,3243764,1586,2007-04-03,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/2979852,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/2979852,2979852,1600,2007-03-20,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/2670606,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/2670606,2670606,1651,2007-03-06,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/2395184,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/2395184,2395184,1696,2007-02-20,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/2246786,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/2246786,2246786,1466,2007-02-06,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/1783632,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/1783632,1783632,1517,2007-01-23,2007,RTV Slovenija,
Resnična resničnost,Resnična resničnost,https://4d.rtvslo.si/embed/1340091,https://4d.rtvslo.si/arhiv/resnicna-resnicnost/1340091,1340091,1910,2007-01-09,2007,RTV Slovenija,
šola računalništva,"Šola računalništva, 30. oddaja",https://4d.rtvslo.si/embed/174376485,https://4d.rtvslo.si/arhiv/sola-racunalnistva/174376485,174376485,705,,1993,RTV Slovenija,
šola računalništva,"Šola računalništva, 29. oddaja",https://4d.rtvslo.si/embed/174376494,https://4d.rtvslo.si/arhiv/sola-racunalnistva/174376494,174376494,780,,1993,RTV Slovenija,
šola računalništva,"Šola računalništva, 28. oddaja",https://4d.rtvslo.si/embed/174376481,https://4d.rtvslo.si/arhiv/sola-racunalnistva/174376481,174376481,830,,1993,RTV Slovenija,
šola računalništva,"Šola računalništva, 27. oddaja",https://4d.rtvslo.si/embed/174376495,https://4d.rtvslo.si/arhiv/sola-racunalnistva/174376495,174376495,668,,1993,RTV Slovenija,
šola računalništva,"Šola računalništva, 26. oddaja",https://4d.rtvslo.si/embed/174376480,https://4d.rtvslo.si/arhiv/sola-racunalnistva/174376480,174376480,531,,1993,RTV Slovenija,
šola računalništva,"Šola računalništva, 25. oddaja",https://4d.rtvslo.si/embed/174376478,https://4d.rtvslo.si/arhiv/sola-racunalnistva/174376478,174376478,782,,1993,RTV Slovenija,
šola računalništva,"Šola računalništva, 24. oddaja",https://4d.rtvslo.si/embed/174376475,https://4d.rtvslo.si/arhiv/sola-racunalnistva/174376475,174376475,794,,1993,RTV Slovenija,
šola računalništva,"Šola računalništva, 23. oddaja",https://4d.rtvslo.si/embed/174376492,https://4d.rtvslo.si/arhiv/sola-racunalnistva/174376492,174376492,814,,1993,RTV Slovenija,
