dejavnost,ime,spol,naziv,opis
FRI,Aleks Huč,,as.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Aleks Jakulin,,as. mag.,"učitelji, asistenti, raziskovalci 2002–2005"
FRI,Aleksandar Jurišić,,prof. dr.,"učitelji, asistenti, raziskovalci 2006–"
FRI,Aleksander Sadikov,,viš. pred. dr.,"učitelji, asistenti, raziskovalci 2002–"
FRI,Aleksandra Franc,,as. dr.,"učitelji, asistenti, raziskovalci 2012–"
FRI,Alenka Kavčič,,viš. pred. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Alenka Rožanec,z,dr.,"učitelji, asistenti, raziskovalci 2000–2013"
FRI,Aleš Frece,,dr.,"učitelji, asistenti, raziskovalci 2011–"
FRI,Aleš Jaklič,,as. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Aleš Kumer,,as.,"učitelji, asistenti, raziskovalci 2006–2014"
FRI,Aleš Leonardis,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Aleš Pustovrh,,as. dr.,"učitelji, asistenti, raziskovalci 2016–"
FRI,Aleš Smrdel,,doc. dr.,"učitelji, asistenti, raziskovalci 1997–"
FRI,Aljaž Košmerlj,,as.,"učitelji, asistenti, raziskovalci 2008–2013"
FRI,Aljaž Zrnec,,viš. pred. dr.,"učitelji, asistenti, raziskovalci 1999–"
FRI,Ana Šaša Bastinos,z,doc. dr.,"učitelji, asistenti, raziskovalci 2006–2014"
FRI,Andraž Božiček,,as. mag.,"učitelji, asistenti, raziskovalci 2007–2014"
FRI,Andrej Brodnik,,dr.,"učitelji, asistenti, raziskovalci 2007–"
FRI,Andrej Čopar,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Andrej Dobnikar,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–2012"
FRI,Andrej Jazbec,,as. mag.,"učitelji, asistenti, raziskovalci 2002–2009"
FRI,Andrej Kocbek,,dr.,"učitelji, asistenti, raziskovalci 2013–2015"
FRI,Andrej Krevl,,as.,"učitelji, asistenti, raziskovalci 2004–2012"
FRI,Andrej Rupar,,as. mag.,"učitelji, asistenti, raziskovalci 2001–2004"
FRI,Andrej Štern,,viš. pred. mag.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Andrej Štrancar,,as. dr.,"učitelji, asistenti, raziskovalci 1997–2014"
FRI,Andrej Vodopivec,,as. dr.,"učitelji, asistenti, raziskovalci 2007–"
FRI,Andreja Retelj,z,mag.,strokovne službe  2011–
FRI,Andreja Vide Hladnik,z,mag.,strokovne službe  2013–
FRI,Anton Zvonko Gazvoda,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Anže Starič,,as.,"učitelji, asistenti, raziskovalci 2010–"
FRI,Babu Ram Dawadi,,mag.,"učitelji, asistenti, raziskovalci 2015"
FRI,Barry Martin Ridge,,mag.,"učitelji, asistenti, raziskovalci 2006–2012"
FRI,Blaž Zupan,,prof. dr.,"učitelji, asistenti, raziskovalci 1998–"
FRI,Bojan Klemenc,,as.,"učitelji, asistenti, raziskovalci 2010–"
FRI,Bojan Kverh,,as. dr.,"učitelji, asistenti, raziskovalci 2002–2011"
FRI,Bojan Orel,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Bojan Petek,,dr.,"učitelji, asistenti, raziskovalci 1996–1997"
FRI,Bor Prihavec,,as.,"učitelji, asistenti, raziskovalci 1996–1999"
FRI,Boris Cergol,,as.,"učitelji, asistenti, raziskovalci 2007–2008, 2013"
FRI,Borut Batagelj,,viš. pred. dr.,"učitelji, asistenti, raziskovalci 2002–"
FRI,Borut Robič,,prof. dr.,"učitelji, asistenti, raziskovalci 1997–"
FRI,Boštjan Gabrovšek,,as.,"učitelji, asistenti, raziskovalci 2009–2013"
FRI,Boštjan Slivnik,,doc. dr.,"učitelji, asistenti, raziskovalci 1997–"
FRI,Boštjan Vilfan,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–2006"
FRI,Branko Matjaž Jurič,,prof. dr.,"učitelji, asistenti, raziskovalci 2010–"
FRI,Branko Šter,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Ciril Bohak,,as. mag.,"učitelji, asistenti, raziskovalci 2007–"
FRI,Cyprian Laskowski,,dr.,"učitelji, asistenti, raziskovalci 2011–2014"
FRI,Damir Franetič,,as. dr.,"učitelji, asistenti, raziskovalci 2007–"
FRI,Damjan Kovač,,dr.,"učitelji, asistenti, raziskovalci 2007–2009, 2012"
FRI,Damjan Oseli,,as. mag.,"učitelji, asistenti, raziskovalci 2002–2004"
FRI,Damjan Šonc,,as. dr.,"učitelji, asistenti, raziskovalci 2001–2014"
FRI,Damjan Vavpotič,,doc. dr.,"učitelji, asistenti, raziskovalci 2000–"
FRI,Damjan Vrenčur,,as.,"učitelji, asistenti, raziskovalci 2006–2012"
FRI,Daniel Vladušić,,dr.,"učitelji, asistenti, raziskovalci 2000–2005"
FRI,Danijel Skočaj,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1997–"
FRI,Darko Pevec,,as. dr.,"učitelji, asistenti, raziskovalci 2009–2014"
FRI,David Jelenc,,as. dr.,"učitelji, asistenti, raziskovalci 2009–"
FRI,Davor Sluga,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Dejan Lavbič,,doc. dr.,"učitelji, asistenti, raziskovalci 2004–"
FRI,Denis Trček,,prof. dr.,"učitelji, asistenti, raziskovalci 2007–"
FRI,Domen Košir,,as. dr.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Domen Šoberl,,as. mag.,"učitelji, asistenti, raziskovalci 2009–"
FRI,Dorjan Šuc,,as. dr.,"učitelji, asistenti, raziskovalci 1996– 2007"
FRI,Dušan Kodek,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–2013"
FRI,Emil Žagar,,dr.,"učitelji, asistenti, raziskovalci 1996–2002"
FRI,Erik Dovgan,,dr.,"učitelji, asistenti, raziskovalci 2016–"
FRI,Erik Štrumbelj,,doc. dr.,"učitelji, asistenti, raziskovalci 2013–"
FRI,Fabio Ricciato,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Franc Jager,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Franc Solina,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Ganna Kudryavtseva,z,doc. dr.,"učitelji, asistenti, raziskovalci 2010–2014"
FRI,Gašper Fele Žorž,,as. dr.,"učitelji, asistenti, raziskovalci 2005–"
FRI,Gašper Fijavž,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 2001–"
FRI,Goran Bobojević,,mag.,"učitelji, asistenti, raziskovalci 2014– 2015"
FRI,Gregor Dolinar,,mag.,"učitelji, asistenti, raziskovalci 1998–1999"
FRI,Gregor Jerše,,as. dr.,"učitelji, asistenti, raziskovalci 2009–"
FRI,Gregor Leban,,as. dr.,"učitelji, asistenti, raziskovalci 2003–2010"
FRI,Gregor Šega,,as. mag.,"učitelji, asistenti, raziskovalci 2007"
FRI,Gregor Srdić,,as.,"učitelji, asistenti, raziskovalci 2010–2013"
FRI,Gregor Strle,,as. dr.,"učitelji, asistenti, raziskovalci 2015"
FRI,Gregor Weiss,,as.,"učitelji, asistenti, raziskovalci 2013–"
FRI,Haris Berbić,,as.,"učitelji, asistenti, raziskovalci 2016–"
FRI,Helena Gabrijelčič Tomc,z,doc. dr.,"učitelji, asistenti, raziskovalci 2015"
FRI,Igor Kononenko,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Igor Lesjak,,as.,"učitelji, asistenti, raziskovalci 1998–2001"
FRI,Igor Rožanc,,viš. pred. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Igor Škraba,,pred. mag.,"učitelji, asistenti, raziskovalci 1996–2010"
FRI,Ivan Bratko,,akad. prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Iztok Lapanja,,as. mag.,"učitelji, asistenti, raziskovalci 1996–2002"
FRI,Iztok Lebar Bajec,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 2000–"
FRI,Iztok Savnik,,dr.,"učitelji, asistenti, raziskovalci 1996–1999"
FRI,Iztok Starc,,as. mag.,"učitelji, asistenti, raziskovalci 2007–2015"
FRI,Jaka Krivic,,as. dr.,"učitelji, asistenti, raziskovalci 2002–2012"
FRI,Jana Faganeli Pucer,z,dr.,"učitelji, asistenti, raziskovalci 2007–2013, 2015–"
FRI,Janez Demšar,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Janez Franc Vratanar,,as.,"učitelji, asistenti, raziskovalci 2007–2008"
FRI,Janoš Vidali,,as. dr.,"učitelji, asistenti, raziskovalci 2008–"
FRI,Jasna Bevk,z,mag.,strokovne službe  2007–
FRI,Jasna Maver,z,izr. prof. dr.,"učitelji, asistenti, raziskovalci 2009"
FRI,Jernej Bule,,as.,"učitelji, asistenti, raziskovalci 2011–2014"
FRI,Jernej Južna,,as.,"učitelji, asistenti, raziskovalci 2006–2013"
FRI,Jernej Tonejc,,dr.,"učitelji, asistenti, raziskovalci 2007–2008"
FRI,Jernej Ule,,doc. dr.,"učitelji, asistenti, raziskovalci 2013–"
FRI,Jernej Virant,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–1997"
FRI,Jože Rugelj,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 2010"
FRI,Jure Bordon,,as.,"učitelji, asistenti, raziskovalci 2011–"
FRI,Jure Demšar,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Jure Žabkar,,as. dr.,"učitelji, asistenti, raziskovalci 2004–"
FRI,Jure Žbontar,,as.,"učitelji, asistenti, raziskovalci 2008–2016"
FRI,Jurij Mihelič,,doc. dr.,"učitelji, asistenti, raziskovalci 2002–"
FRI,Kaja Zupanc,z,as.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Katarina Mele,z,as. mag.,"učitelji, asistenti, raziskovalci 2002–2005"
FRI,Ksenija Rozman,z,mag.,"učitelji, asistenti, raziskovalci 2003–"
FRI,Lan Umek,,as. dr.,"učitelji, asistenti, raziskovalci 2006–2012"
FRI,Lan Žagar,,as. dr.,"učitelji, asistenti, raziskovalci 2008–"
FRI,Ljubo Pipan,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–2003"
FRI,Lovro Šubelj,,doc. dr.,"učitelji, asistenti, raziskovalci 2008–"
FRI,Luka Čehovin,,as. dr.,"učitelji, asistenti, raziskovalci 2007–"
FRI,Luka Fürst,,as. dr.,"učitelji, asistenti, raziskovalci 2004–"
FRI,Luka Hauptman,,as.,"učitelji, asistenti, raziskovalci 2011–2012"
FRI,Luka Šajn,,doc. dr.,"učitelji, asistenti, raziskovalci 2003–"
FRI,Maja Vodopivec,z,mag.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Marija Valentinčič Pregelj,z,mag.,strokovne službe  2012–2014
FRI,Marijan Leban,,dr.,"učitelji, asistenti, raziskovalci 1998"
FRI,Marina Trkman,z,as.,"učitelji, asistenti, raziskovalci 2008–"
FRI,Marinka Žitnik,z,as. dr.,"učitelji, asistenti, raziskovalci 2012–"
FRI,Marjan Krisper,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1996–2014"
FRI,Marjana Erdelji,z,mag.,"učitelji, asistenti, raziskovalci 2015"
FRI,Marko Bajec,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Marko Boben,,doc. dr.,"učitelji, asistenti, raziskovalci 2004–"
FRI,Marko Janković,,as.,"učitelji, asistenti, raziskovalci 2012–"
FRI,Marko Poženel,,as. dr.,"učitelji, asistenti, raziskovalci 2001–"
FRI,Marko Privošnik,,viš. pred. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Marko Robnik Šikonja,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Martin Jakomin,,as.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Martin Možina,,as. dr.,"učitelji, asistenti, raziskovalci 2006–"
FRI,Martin Potočnik,,as.,"učitelji, asistenti, raziskovalci 2010–2013"
FRI,Martin Stražar,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Martin Vuk,,as. dr.,"učitelji, asistenti, raziskovalci 1998–"
FRI,Matej Artač,,dr.,"učitelji, asistenti, raziskovalci 2000–2006"
FRI,Matej Grom,,pred. mag.,strokovne službe  2000–
FRI,Matej Guid,,doc. dr.,"učitelji, asistenti, raziskovalci 2006–"
FRI,Matej Kristan,,doc. dr.,"učitelji, asistenti, raziskovalci 2006–"
FRI,Matej Pičulin,,as.,"učitelji, asistenti, raziskovalci 2011–"
FRI,Mateja Raič,z,as. mag.,"učitelji, asistenti, raziskovalci 2000– 2003"
FRI,Matevž Jekovec,,as.,"učitelji, asistenti, raziskovalci 2011–"
FRI,Matevž Pesek,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Matevž Poberžnik,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Matija Marolt,,doc. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Matija Polajnar,,as.,"učitelji, asistenti, raziskovalci 2009–2013"
FRI,Matjaž Bevk,,dr.,"učitelji, asistenti, raziskovalci 2000–2007"
FRI,Matjaž Jogan,,as. dr.,"učitelji, asistenti, raziskovalci 1999–2010"
FRI,Matjaž Kukar,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1999–"
FRI,Matjaž Pančur,,as. dr.,"učitelji, asistenti, raziskovalci 1998–"
FRI,Matjaž Urlep,,as.,"učitelji, asistenti, raziskovalci 2006–2010"
FRI,Mattia Petroni,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Miha Drole,,as. dr.,"učitelji, asistenti, raziskovalci 2011–"
FRI,Miha Grohar,,as.,"učitelji, asistenti, raziskovalci 2012–"
FRI,Miha Janež,,as.,"učitelji, asistenti, raziskovalci 2006–2011"
FRI,Miha Moškon,,doc. dr.,"učitelji, asistenti, raziskovalci 2007–"
FRI,Miha Mraz,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Miha Nagelj,,as.,"učitelji, asistenti, raziskovalci 2012–"
FRI,Miha Peternel,,as. mag.,"učitelji, asistenti, raziskovalci 2002–2013"
FRI,Miha Štajdohar,,as. dr.,"učitelji, asistenti, raziskovalci 2007–2016"
FRI,Milan Ambrožič,,dr.,"učitelji, asistenti, raziskovalci 2001"
FRI,Milan Pevec,,as.,"učitelji, asistenti, raziskovalci 2011–2013"
FRI,Minca Mramor,z,dr.,"učitelji, asistenti, raziskovalci 2004–2011"
FRI,Mira Trebar,z,doc. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Miran Mihelčič,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–2010"
FRI,Mitar Milutinović,,as.,"učitelji, asistenti, raziskovalci 2011–2012"
FRI,Mitja Bezenšek,,as.,"učitelji, asistenti, raziskovalci 2007–2012"
FRI,Mojca Ciglarič,z,doc. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Narvika Bovcon,z,doc. dr.,"učitelji, asistenti, raziskovalci 2010–"
FRI,Nejc Ilc,,as.,"učitelji, asistenti, raziskovalci 2009–"
FRI,Neli Blagus,z,as.,"učitelji, asistenti, raziskovalci 2010–"
FRI,Nežka Mramor Kosta,z,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Niko Colnerič,,as.,"učitelji, asistenti, raziskovalci 2013–"
FRI,Nikolaj Zimic,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Nuša Zidarič,z,as.,"učitelji, asistenti, raziskovalci 2012"
FRI,Ondrej Drbohlav,,dr.,"učitelji, asistenti, raziskovalci 2006–2008"
FRI,Patricio Bulić,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1998–"
FRI,Petar Vraćar,,as. mag.,"učitelji, asistenti, raziskovalci 2008–"
FRI,Peter Juvan,,dr.,"učitelji, asistenti, raziskovalci 2000–2006"
FRI,Peter Marijan Kink,,as. dr.,"učitelji, asistenti, raziskovalci 2003–"
FRI,Peter Nose,,as. dr.,"učitelji, asistenti, raziskovalci 2008–"
FRI,Peter Peer,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 2004–"
FRI,Peter Rulić,,dr.,"učitelji, asistenti, raziskovalci 2007–2008"
FRI,Peter Uršič,,mag.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Polona Oblak,z,izr. prof. dr.,"učitelji, asistenti, raziskovalci 2008–"
FRI,Primož Pečar,,as. mag.,"učitelji, asistenti, raziskovalci 2004–2014"
FRI,Primož Podgornik,,mag.,"učitelji, asistenti, raziskovalci 1996–1998"
FRI,Radko Osredkar,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–2011"
FRI,Rajko Mahkovic,,as. dr.,"učitelji, asistenti, raziskovalci 1996–2011"
FRI,Robert Dukarić,,as. dr.,"učitelji, asistenti, raziskovalci 2011–2015"
FRI,Robert Ravnik,,as. dr.,"učitelji, asistenti, raziskovalci 2009–2014"
FRI,Robert Rozman,,viš. pred. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Rok Češnovar,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Rok Mandeljc,,as. dr.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Rok Povše,,as.,"učitelji, asistenti, raziskovalci 2011–"
FRI,Rok Rupnik,,doc. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Rok Štebe,,as.,"učitelji, asistenti, raziskovalci 2005–2008"
FRI,Roland Perko,,dr.,"učitelji, asistenti, raziskovalci 2006–2008"
