firma,naslov,Longitude,Latitude
AERO,"Kocenova ulica 4, Celje",15.2661338,46.2276701
Agis,"Rajšpova ulica 12, Ptuj",15.8813149,46.4184791
Agraria,"Gortanov trg 15, Koper",13.7280267,45.5459715
Agrotehnika,"Titova 38, Ljubljana",14.5057515,46.0569465
Almira,"Jalnova ulica 2, Radovljica",14.1760009,46.3435752
Alpetour,"Titov trg 4b, Škofja Loka",14.3058337,46.1671294
Alpina,"Stara vas 23, Žiri",14.111887,46.0513094
Alples,"Češnjica 48, Železniki",14.1750681,46.2261866
Astra,"Titova 67, Ljubljana",14.5057515,46.0569465
Atomski center Vinča,#N/A,,
Autocommerce,"Trdinova 4, Ljubljana",14.5056468,46.0556843
Beti,"Tovarniška 1, Metlika",15.3214616,45.6446616
Biotehniška fakulteta,"Jamnikarjeva 101, Ljubljana",14.4753606,46.0492982
Bolnišnica Franca Derganca,"Ulica padlih borcev 13, Šempeter pri Gorici",13.6410822,45.9301079
Brest,"Cesta 4.Maja 18, Cerknica",14.366161,45.7942132
Chemo,"Maistrova 10, Ljubljana",14.5175233,46.0561503
Cinkarna Celje,"Kidričeva 19, Celje",15.2759398,46.2354973
Color,"Cesta komandanta Staneta 4, Medvode",14.4128839,46.1384545
DBH - Dolenjska banka in hranilnica,"Trdinova 2, Novo mesto",15.1707755,45.8005606
Dekorativna,"Celovška 280, Ljubljana",14.4744857,46.0874726
Delamaris,"Tovarniška 3, Izola",13.6601761,45.5402259
Delo,"Titova 35, Ljubljana",14.5057515,46.0569465
DEM - Dravske elektrarne Maribor,"Vetrinjska ulica 2, Ljubljana",15.647846,46.5578772
DES - Distribucija energije Slovenija,"Hajdrihova 2, Ljubljana",14.4907669,46.0451256
Dom,"Mestni trg 24, Ljubljana",14.5064236,46.0498604
Donit,"Medvode 59, Medvode",14.411347,46.1413926
Droga,"Portorož 95, Portorož",13.5908455,45.5142898
ECM - Ekonomski center Maribor,"Tyrševa 15, Ljubljana",15.64628,46.5618161
ECM Razlagova - Ekonomski center Maribor,"Razlagova 22, Maribor",15.6541097,46.5619546
EGM - Elektrogospodarstvo Maribor,"Vetrinjska 2, Maribor",15.647846,46.5578772
Ekonomski inštitut pravne fakultete,"Poljanski nasip 2, Ljubljana",14.5110994,46.0515247
