GENERACIJA,ZAPOREDNI,KOLICINA,LETO,PROIZVAJALEC,MODEL,OPOMBE,TIP,UPORABA,LASTNISTVO,NOSILEC,KRAJ,PARTNER,DOSTOP,VIRI
A,,1,1946,POWERS-SAMAS,POWERS-SAMAS neznan,(Powers One?) ,mg,o,L,Iskra Elektromehanika,Kranj,,,"57/01, 60/02, 65/01, 66/04"
A,,1,1952,IBM,IBM neznan ,(4xx/6xx?),mg,J,L,Zavod za statistiko SRS,Ljubljana,,RSNZ - Republiški sekretariat za notranje zadeve,STAT/01
A,,1,1955,IBM,IBM neznan ,(4xx),mg,J,L,Narodna banka centrala Ljubljana,Ljubljana,,,"59/03, 61/07, FLRJ/01"
A,,1,1955,IBM,IBM neznan ,(4xx),mg,J,L,Komunalna banka,Ljubljana,,,FLRJ/01
A,,1,1955,IBM,IBM 602-A + IBM 421,,mg,o,N,TAM - Tovarna avtomobilov Maribor,Maribor,,"EMO - Tovarna emajlirane posode, Železarna Štore","PKZ/02, 57/01, 59/03, 67/10, 70/01, 75/39, 84/39, 86/22"
A,,1,1955,IBM,IBM 421,,mg,o,L,Litostroj,Ljubljana,,Iskra,"57/01, 65/06, 67/10, 70/01, 73/41, 86/22"
A,2,1,1956,POWERS-SAMAS,POWERS-SAMAS neznan ,(novejši model.. Powers Four?),mg,o,L,Iskra Elektromehanika,Kranj,,,66/04
A,,1,1957,IBM,IBM 602-A + IBM 421,,mg,o,L,Železarna Jesenice,Jesenice,,Železarna Štore,"57/01, 60/02, 86/22"
A,,1,1958,POWERS-SAMAS,POWERS-SAMAS neznan ,(neizkoriščen),mg,o,L,LTH - Loška tovarna hladilnikov,Škofja Loka,,,LTH/01
G,,1,1958,IJS,M-1 ,(elektronski analogni),ae,R,I,NIJS - Nuklearni inštitut Jožef Stefan,Ljubljana,Matematični center SRS,,"58/01, 59/02, 59/03, IJS/04"
A,,1,1959,IBM,IBM 602-A + IBM 421,,mg,o,S,Rog,Ljubljana,Titan,Dom,"61/05, 68/27, 72/04, 75/03, 86/22"
,,,,,,,,o,,,,,,
B,,1,1960,IBM,IBM 705,,E,Y,L,Zvezni Zavod za statistiko SRS,Beograd,,"Zavod za statistiko SRS, Narodna banka centrala Ljubljana, IMFM - Inštitut za matematiko fiziko in mehaniko, IJS - Inštitut Jožef Stefan","60/04, 60/05, 60/06, 61/04, 61/07, 66/08"
B,,1,1960,CER,CER 10,(IBK Vinča+IMP Beograd) nameščen 1963,e,Y,L,Tanjug,Beograd,,,"61/04, 67/08, IDPR/01"
A,,1,1960,IBM,IBM neznan,"postane ECM, sodeluje več mariborskih podjetij",mg,P,L,Zavod za organizacijo in revizijo,Maribor,TAM - Tovarna avtomobilov Maribor,ZZSZ Maribor - Zavod za zdravstveno in socialno zavarovanje,59/03
A,3,1,1960,SPERRY Rand,SPERRY Rand UNIVAC 60/120,,emg,o,L,Iskra Elektromehanika,Kranj,,FE - Fakulteta za elektrotehniko,"57/01, 60/02, 65/01, 66/03, 66/04, 70/03, FRI/01"
A,,1,1960,Aritma,Aritma ,(relejski češki) Oddelek za šibki tok,mg,R,L,FE - Fakulteta za elektrotehniko,Ljubljana,,,"UNI/01, FRI/01"
A,2,1,1961,SPERRY Rand,neznan ,(UNIVAC 1004?),mg,J,L,Zavod za statistiko SRS,Ljubljana,,,"SRS/01, 69/29"
A,,1,1961,IBM,IBM neznan ,(odkup 63ega),mg,J,N,RSNZ - Republiški sekretariat za notranje zadeve,Ljubljana,,,"PKZ/01, MNZ/01, 69/29"
C,,1,1962,ZUSE,ZUSE Z-23,,e,R,S,IMFM - Inštitut za matematiko fiziko in mehaniko,Ljubljana,"IJS - Inštitut Jožef Stefan, Iskra","Železarna Ravne, Emona, Litostroj, FE - Fakulteta za elektrotehniko, Biotehniška fakulteta, Ekonomski inštitut pravne fakultete, Inštitut za kovinske konstrukcije, Zavod za raziskave materiala in konstrukcij, Geološki inštitut, Zavod za urbanizem, Inštitut za sociologijo in filozofijo, Inštitut za biologijo, Onkološki inštitut","62/01, 62/02, 62/03, 62/04, 62/05, 62/06, 63/01, 63/02, 65/05, IDPR/01, UNI/01, 69/29"
A,2,1,1963,IBM,IBM neznan,,mg,o,S,Titan,Kamnik,"Stol, Induplati",,"63/03, 71/35, 75/03"
A,,1,1963,IBM,IBM neznan,postane del Rudis Trbovlje,mg,o,L,STT - Strojna tovarna Trbovlje,Trbovlje,,,"61/01, 63/04"
A,2,1,1964,IBM,IBM neznan ,(rabljen),mg,o,S,LTH - Loška tovarna hladilnikov,Škofja Loka,"Gorenjska predilnica, Jelovica, Sava",,"LTH/01, 70/11, 73/03, 77/02"
