ŠIFRA,VRSTA,ČLANEK,VSEBINA,LINK
78/05,Seznam,Dogovori Glasilo občinske konference Lj center (Oktober 1978),">>Staninvest neuspešno uvajanje
'..smo si štiri leta zaman prizadevali, da bi nabavili računalnik, s katerim bi obdelovali in hranili podatke in z njim omogočili planiranje od posameznih hiš do mestnega plana. Nujna je kadrovska sanacija Staninvesta in zagotovitev ustreznih delovnih pogojev, da bo mogoče naloge stanovanjskega gospodarstva hitro in točno izvajali'",https://www.dlib.si/stream/URN:NBN:SI:DOC-MMS60VUA/05e00441-3d5a-4aa8-9a12-e6f8a972253f/PDF
78/06,Seznam,"Glasilo delovnega kolektiva LIP Bled (15.11.1978, letnik 8, številka 11)",">>Nakup računalnik v LIP nekje v letu 1979
'Začetki segajo v 1974, prve obdelave opravljali 1975, v naslednjih letih pa pokrili večino poslovnega dogajanja''Delamo na računalnik v RRC prek terminala, ki je v solastništvu z GG Bled in Vezenine Bled'",https://www.dlib.si/stream/URN:NBN:SI:DOC-P48VKUK5/129abbe4-ec36-455d-85a2-a00da61f9716/PDF
78/08,Seznam,"Novoles (27.01.1978, letnik 16, številka 1)
in Novoles (28.02.1978, letnik 16, številka 2)",">>Računalnik v Novolesu Fujitsu Facom 230-38S
'Začasno uvozili računalnik na petmesečni preizkus, obdelave ki jih zdaj opravljamo na računalniku Krke bomo postopno prenesli na svojega'
>>Opis računalnikovih zmogljivosti","https://www.dlib.si/stream/URN:NBN:SI:DOC-JFGNH44D/7b8f967c-29a4-4b69-bf24-b3ce6bdd1576/PDF 
https://www.dlib.si/stream/URN:NBN:SI:DOC-SFMAG4DG/0a128514-84e0-4e13-94e1-4e8872e1b058/PDF "
78/10,Seznam,"Veriga (1978, letnik 20, številka 6)","Leta 1971 je Tovarna verig Lesce začela uvajati računalniško tehniko v cilju izdelave efikasnih sistemov na področju knjigovodskega poslovanja, a pozneje tudi uporabe računalnika kot efikasnega sredstva v vodenju proizvodnih procesov.. smo začeli tako, da smo se posluževali pomoči računalniških strokovnjakov v Železarni Jesenice.. nadaljne uspešno izvajanje postavljenih nalog na jeseniškem računalniku..'","https://www.dlib.si/stream/URN:NBN:SI:DOC-FNTXKCO8/8653cdc8-8123-4be7-878c-6d83bac0ee84/PDF"
78/11,Seznam,"Delo (18.01.1978, letnik 20, številka 13)
in Delo (19.01.1978, letnik 20, številka 14)",">>Računalnika IBM v Ljubljanski banki, sta premajhna
'Računalnika, ki smo ju dobili pred osmimi leti, sta bila predvidena za obdelavo 500 tisoč računov.. zdaj 4 miljone.. zaradi starosti in velike obremenjenosti pa prihaja tudi do okvar in izpadov delovanja'
>>Na FE obeležili pet letnico projekta integriranih vezij, izsledki predstavljajo temelj za razvoj elektronike.. Prednosti!!","http://www.dlib.si/listalnik/URN_NBN_SI_doc-IOUWBHTX/8/index.html 
http://www.dlib.si/listalnik/URN_NBN_SI_DOC-BW13K1V8/4/index.html"
78/19,Seznam,"Delo (16.12.1978, letnik 20, številka 290)",">>Licitacija Zavoda za statistiko
'Key-Edit sistem za zajemanje podatkov.. konfiguracija 12 zajemalnih mest, centralna enota DEC PDP 8 z 20KB pomnilnika in magnetni boben za vmesno shranjevanje podatkov..'",https://www.dlib.si/listalnik/URN_NBN_SI_doc-GDUMOEAZ/18/index.html
78/20,Seznam,"Delo (07.03.1978, letnik 20, številka 54)",>>Nov računalnik Facom 230/38 v Novolesu v Straži,https://www.dlib.si/listalnik/URN_NBN_SI_doc-RZXA1KS9/20/index.html
78/22,Seznam,"Delo (21.10.1978, letnik 20, številka 245)",">>Oglas Elektrotehna za dela in naloge v AOP
'Konec leta bomo dobili računalnik Delta 340, izdelek oddelka za računalništvo. Ta je nekoliko podoben DEC PDP 11/45 in bo imel 256KB hitrega pomnilnika, dve 80MB diskovni enoti, dve magnetni tračni enoti, tiskalnik in 8 zaslonskih terminalov. Nameščen bo v prostorih na Čopovi 38.'",https://www.dlib.si/listalnik/URN_NBN_SI_doc-XPJC31US/16/index.html
78/25,Seznam,"Informativni fužinar (29.12.1978, letnik 15, številka 24)",">>O delovanju procesnega računalnika IBM System 7 v jeklarni
'Julija 1977 se je v obeh jeklarnah pričela uporaba procesnega računalnika. V razmeroma kratkem času se je v jeklarni pokazala učinkovitost uporabe. že v prvih mesecih uporabe je doseženo znatno znižanje materialnih stroškov, povečana je enakomernost končne kemijske sestave in znižan odstotek zgrešenih legirnih elementov.'",https://www.dlib.si/stream/URN:NBN:SI:DOC-A3XLPCMB/6d03aebe-3a39-4c38-bfa4-8370c8c7be0d/PDF
78/26,Seznam,"Dolenjski list (09.02.1978, letnik 29, številka 6)",">>Skupen računalnik IBM 370/138 + dva terminala v Posavju
'7 podjetij iz treh posavskih občin podpisalo sporazum o ustanovitrvi računalniškega centra. Lep prispevek k smotrnejši uporabi opreme in premagovanju pomanjkanja kadra. Novi računalnik omogoča tudi daljinske povezave. Pospisniki so Lisca Sevnica, Celuloza, Kovinarska in SOP Krško, Agrarija Brežice, pa Stilles in Jugotanin Sevnica.'",https://www.dlib.si/stream/URN:NBN:SI:DOC-RYY8FXNO/0023f3bb-ac3b-40e1-9e18-6b00453cb954/PDF
