ŠIFRA,VRSTA,ČLANEK,VSEBINA,LINK
ZSS/01,Šolstvo/Znanost,"Razstava Šolska TV, video, računalništvo, multimedija",>>1969-1995,http://www.educa.fmf.uni-lj.si/vlado/razstava/naslov.htm
ZRSS/01,Zdravstvo,Začetki računalništva med slepimi in slabovidnimi,,http://www2.arnes.si/~msmdss1s/programiranje.htm
UNI/01,Šolstvo/Znanost,90 let Univerze v Ljubljani>>,,https://www.uni-lj.si/mma/predstavitevnovihpublikacij_monografija209020let20univerze_komplet_web_1/2013091310100630/
UINF/01,Šolstvo/Znanost,Uporabna informatika,">>Publikacija društva Informatika... prispevki na znanstveni, strokovni in informativni ravni z najširšega področja informatike v poslovanju podjetij, javni upravi in zasebnem življenju",http://stara.uporabna-informatika.si/
SZTR/01,Seznam,"Milan Mesarič Suvremena znanstveno tehnička revolucija, 1971","In former Yugoslavia, at the end of 1962 there were 30 installed electronic computers, in 1966, there were 56, and in 1968 there were 95.' PODATKI SE NE UJEMAJO Z DRUGIMI??? NIKJER POTRDITVE, RAZEN PONOVITEV NAPAČNEGA PODATKA V ENEM IZMED ČLANKOV!",https://en.wikipedia.org/wiki/History_of_computer_hardware_in_Yugoslavia
SV/01,Šolstvo/Znanost,Strojniški vestnik,>>Mednarodna publikacija Strojne fakultete,https://www.sv-jme.eu/view-articles/
STAT/06,Javna uprava,"Bilten Statističnega društva Slovenije (2014, letnik 36, številka 57)
in Dnevnik 30.08.2014",">>Članek posvečen Franti Komelu, direktorju Statističnega urada 1967-1981
'Franta Komel je s svojim znanjem in intuicijo za Slovenijo našel možnost, da OECD tudi finančno podpre nova snovanja in modernizacijo slovenske in posredno jugoslovanske javne statistike. Jugoslovanski statistiki in beograjski akademiki so se temu le čudili. Strokovnjaki iz Nemčije so nam pomagali pri razmišljanju o novostih in sodelovali pri projektu, ki ga sami doma v Nemčiji niso smeli izvesti. Nakup velikega računalnika je s tem postal nujno potreben. Delujoči sistemi UNIVAC??? in veliki CDC so bili dober začetek, a registri ter banka podatkov so potrebovali močnejšo opremo. Omenjena oprema je omogočila izobrazbo množice statistikov-informatikov tedanjega profila. Potrebe po informatikih so naraščale. Na fakultetah pa so se prepirali kje in kako bo potekal študij informatike. Zavodovi informatiki so bili dobro izobraženi. S praktičnimi izkušnjami so tudi odhajali v druge javne ustanove in Franta je to podpiral. Zavod je bil dolgo časa nosilec razvoja aplikativne javne informatike v Sloveniji. Franta je s svojimi idejami in ljudmi uspel in Zavod za statistiko je dobil tedaj najsposobnejši računalnik na Balkanu. Na otvoritvi so predstavili poskusno delovanje registra prebivalstva in začetek delovanja statistične banke podatkov. Izmenjave s pomočjo magnetnih trakov so bile takrat višek prenosa podatkov, trakovi s podatki so potovali v Beograd in nazaj. Register prebivalcev je postajal osnova za volilne imenike in druge potrebe po bazi vseh prebivalcev. Bistveno je bilo, da so tudi vsebinsko uredili prijavne obrazce za registracijo prebivalstva, ki so jih pošiljali na osem različnih ustanov.' ZMEDENO NAPISANO.. V DRUGEM ODSTAVKU IZGLEDA GOVORI O IBM705.. V PRVEM ODSTAVKU PA GOVORI O MODERNIZACIJI V SEDEMDESETIH.. ČLANEK V DNEVNIKU BOLJ JASEN","https://www.dlib.si/stream/URN:NBN:SI:DOC-K1PTD9AV/754128cc-fd46-4cc0-8080-c77c59c8bc38/PDF
https://www.dnevnik.si/1042679560 "
STAT/05,Splošno,"Zavod RS za Statistiko>>
Zmogljivosti in uporaba opreme za avtomatsko obdelavo podatkov 1988",,https://www.dlib.si/stream/URN:NBN:SI:DOC-5RBIVMAB/d2269014-b47e-4562-a096-42213b73cad4/PDF
STAT/04,Splošno,"Zavod RS za Statistiko>>
Zmogljivosti in uporaba opreme za avtomatsko obdelavo podatkov 1981",,https://www.dlib.si/stream/URN:NBN:SI:DOC-PHPGD80I/099a3ffc-b739-41d0-adfe-556285d731b6/PDF
STAT/03,Splošno,"Zavod RS za Statistiko>>
Zmogljivosti in uporaba opreme za avtomatsko obdelavo podatkov 1978",,http://www.dlib.si/stream/URN:NBN:SI:DOC-H45YRZB4/0d6eadec-2748-4ace-a251-9fe41f1dd18d/PDF
STAT/02,Splošno,"Zavod RS za Statistiko>>
Zmogljivosti in uporaba opreme za avtomatsko obdelavo podatkov 1976","143 računalnikov, od tega 82 lastnih, 4 v solastništvu in 57 najetih V TRENUTKU POPISA + ŠELE NAROČENI, NISO VKLJUČENI TISTI, KI SO BILI ZAMENJANI ALI ZAVRŽENI",http://www.dlib.si/stream/URN:NBN:SI:DOC-ASKTHV5Q/19ce280f-c442-46cd-9fc4-45ac5f4053c2/PDF
STAT/01,Javna uprava,Statistični urad RS >>,"1952 Republiški zavod za statistiko in evidenco kupi prvi IBM-ov sistem računalnikov, ki vsebuje tudi verificirke in tabelirke.''1953 prvi Statistični letopis'",https://www.stat.si/statweb/AboutUs/History
