navodila,,inv st,vrsta,vrednost [usd],leto,ime,lokacija,stanje,zgodovina,število delov,popisovalec
kategorije:,,40000,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
pohistvo,,40001,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
a/v oprema,,40002,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
racunalnik,,40003,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
periferija,,40004,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
orodje,,40005,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
monitor,,40006,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
mrezna oprema,,40007,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
drugo,,40008,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40009,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40010,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40011,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40012,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
vprasanja:,,40013,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
routerji? ,,40014,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
access point?,,40015,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
slikarska stojala?,,40016,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40017,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40018,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40019,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40020,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40021,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40022,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40023,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40024,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40025,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40026,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40027,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40028,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40029,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40030,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40031,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40032,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40033,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40034,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40035,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40036,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40037,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40038,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40039,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40040,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40041,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40042,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40043,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40044,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40045,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40046,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40047,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40048,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40049,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40050,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40051,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40052,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40053,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40054,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40055,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40056,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40057,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40058,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40059,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40060,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40061,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40062,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40063,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40064,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40065,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40066,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40067,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40068,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40069,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40070,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40071,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40072,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40073,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40074,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40075,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40076,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40077,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40078,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40079,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40080,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40081,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40082,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40083,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40084,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40085,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40086,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40087,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40088,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40089,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40090,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40091,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40092,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40093,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40094,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40095,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40096,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40097,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40098,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40099,pohistvo,14,2019,zlozljiv skerjanc stol bas natur,nadstropje,nov,posodil ustvarjalnik,1,bostjan
,,40100,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40101,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40102,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40103,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40104,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40105,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40106,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40107,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40108,pohistvo,,2010,miza,ucilnica,"bp, kovinska podolzna noga, rumena deska",zemanta,1,bostjan
,,40109,pohistvo,,,miza,delavnica,"velika, bela",visionect,1,bostjan
,,40110,pohistvo,,,miza,delavnica,"velika, bela",visionect,1,bostjan
,,40111,pohistvo,,,stojalo za projektor,nadstropje,"bp, kovinska noga od mize",visionect,1,bostjan
,,40112,a/v oprema,,,rocni brezzicni mikrofon,omara nadstropje,,kiberpipa,1,bostjan
,,40113,a/v oprema,,,rocni brezzicni mikrofon,omara nadstropje,,nakup,1,bostjan
,,40114,a/v oprema,,,naglavni mikrofon z oddajnikom,omara nadstropje,,kiberpipa,1,bostjan
,,40115,a/v oprema,,,naglavni mikrofon z oddajnikom,omara nadstropje,,nakup,1,bostjan
,,40116,a/v oprema,,,skatla za mikrofone,omara nadstropje,,kiberpipa,1,bostjan
,,40117,a/v oprema,,,skatla za mikrofone,omara nadstropje,,nakup,1,bostjan
,,40118,pohistvo,,,vintage klubska mizica,pritlicje,,mitja,1,bostjan
,,40119,pohistvo,,,vintage fotelj,pritlicje,,mitja,1,bostjan
,,40120,pohistvo,,,vintage fotelj,pritlicje,,mitja,1,bostjan
,,40121,a/v oprema,100,,projektor,omara nadstropje,stari projektor kiberpipe,kiberpipa,1,bostjan
,,40122,a/v oprema,1400,,projektor,omara nadstropje,"wide field, nov",arkadnik,1,bostjan
,,40123,pohistvo,,,govorniski pult,nadstropje,stari pult kiberpipe,kiberpipa,1,bostjan
,,40124,a/v oprema,,,veliki televizor,omara nadstropje,stari TV kiberpipe,kiberpipa,1,bostjan
,,40125,pohistvo,,,smetnjak,nadstropje,,marko,1,bostjan
,,40126,pohistvo,,,smetnjak,pritlicje,,marko,1,bostjan
,,40127,pohistvo,,,smetnjak,depo,,marko,1,bostjan
,,40128,orodje,50,,lestev velika,vecnamenska soba,,marko,1,bostjan
,,40129,orodje,50,,lestev srednja,vecnamenska soba,,iztok,1,bostjan
,,40130,pohistvo,,,pisarniski stol,depo,,gaja,1,bostjan
,,40131,pohistvo,,,pisarniski stol,depo,,gaja,1,bostjan
,,40132,pohistvo,150,,oblazinjen stol,ucilnica,"obrabljen, crn",kiberpipa,1,bostjan
,,40133,pohistvo,150,,oblazinjen stol,ucilnica,"obrabljen, crn",kiberpipa,1,bostjan
