Leto,Datum,Napis na kaseti,ostalo,Oseba,skatla
2001,23.11.2001,R.Vitchin: Mapping cyberspace (2. del): 21',1 kaseta,Rob Kitchin,06_Kognitivna
2001,11.-12.1.2001,"Simpozij: Rekonstruirana fikcija, Rob Kitchin part 1",,Rob Kitchin,06_Kognitivna
2002,18.2.2002,"E-literatura, Jaka Železnikar",,Jaka Železnikar,06_Kognitivna
2002,21.-22.3.2002,Ambasada ZDA / Mirovni protest Kongresni,,,06_Kognitivna
2002,,Maja Sunčič '02,,Maja Sunčič,06_Kognitivna
2003,13.2.2003,Sergej Berišaj - Voodoo DO Geforce Predavanje,,Sergej Berisaj,04_Dokumentacija-projektor
2003,18.5.2003,"Ditze Staun, Kiberpipa",,,06_Kognitivna
2003,3.2003,"Maja Sunčič: Electrotalk (2. del), 29'",,Maja Sunčič,06_Kognitivna
2003,23.3.2003,Demonstracije proti vojni podkupnini,,,06_Kognitivna
2004,25.3.2004,Intelekt. lastnica A. Tori,,Andraz Tori,04_Dokumentacija-projektor
2004,11.4.2005,"Cinelerra 2, Tori 2/2",,,04_Dokumentacija-projektor
2004,11.4.2005,"Cinelerra 2, Tori 1/2",,,04_Dokumentacija-projektor
2004,15.5.2004,"Socialna ekologija, 01:05",,,06_Kognitivna
2004,"21., 23., 24. 4. 2004",Eko konferenca / M. za okolje/ Eko protest,,,06_Kognitivna
2004,25.10.2004,"Collettivo Situaciones, Argentina, 1/2, Maribor",,,06_Kognitivna
2004,25.10.2004,"Collettivo Situaciones, Argentina, 2/2, Maribor",,,06_Kognitivna
2004,26.2. in 15.-20.3. 2004,Izbrisani DEMOS / Leto vojne,,,06_Kognitivna
2004,20.3.2004 / 30. 9. 2004,Leto vojne - Lj / Fosilni dinozaver Lj,,,06_Kognitivna
2004,23.06.04,Tranzistors Four?,,,13_Predstavitev pipe
2005,24.5.2005,J. Čuhalev - Stanje linux desktopa (Hevreka),´00:43:40,Jure Čuhalev,12_Spletne urice
2005,6.12.2005,"Spletne urice: Odgovornost ponudnikov spletnih strani, by Boštjan Berčič, TCIE",´01:15 LP,Bostjan Bercic,12_Spletne urice
2005,18. 4. 2005,Tori: Cinelerra 3-2,´00:11:53,Andraž Tori,12_Spletne urice
2005,25.1.2005,"VIP#6 Robert Rolih, kamera 2, 2/2",,Robert Rolih,01_VIP
2005,5.4.2005,"POT: Kdevelop, David Klasinc, 00:00-25:70, Daša, vaja, 17.4.2005; 25:70-46:59",,David Klasinc,02_POT
2005,7.12.2005,"POT: Improliga (teden direktive o retenciji podatkov), Martin R",,Martin R,02_POT
2005,25.10.2005,"POT: dr. Gregor Petrač, Demokratični potencial - organizacije informacij v spletu",,Gregor Petrač,02_POT
2005,15.3.2005,"Hacking Linksys & Xbox, Jans Kűhnel, 1/1",,Jans Kűhn,02_POT
2005,10.5.2005,"Daniel Fischer Gstreamer (1/2), daše, vaje 2, 2.5.2005, 28 min, boštjan",,Daniel Fischer,04_Dokumentacija-projektor
2005,8.12.2005,"OK. miza  - direkt. o retenciji komunik podatkov 0-15 min 2/2, 2 ",,,04_Dokumentacija-projektor
2005,20.4.2005,"Barbara: Audacity - delavnica, cela",,,04_Dokumentacija-projektor
2005,19.4.2005,"Barbara: Audacity 2/2, 8:10:00",,,04_Dokumentacija-projektor
2005,19.4.2005,"Barbara: Audacity 1/2, cela",,,04_Dokumentacija-projektor
2005,4.4.2005,"Cinelerra 1, 2/2, Andraž Tori, Koevelop, David Klasinc, 1/2, 5.4.2005 16:48 - konec",,"Andraz Tori, David Klasinc",04_Dokumentacija-projektor
2005,4.4.2005,"Cinelerra 1, 1/2, Andraž Tori",,Andraz Tori,04_Dokumentacija-projektor
2005,24.3.2005,DASH Tactical MU,,,04_Dokumentacija-projektor
2005,24.3.2005,DASH Tactical MU,,,04_Dokumentacija-projektor
2005,24.3.2005,DASH Tactical M,,,04_Dokumentacija-projektor
2005,13.10.2005,"Kognitivna konferenca IJS, Igor Kononenko, Mari Jože Osredkar, Zoran Mihajlović",,,06_Kognitivna
2005,13.10.2005,"Kognitivna konferenca IJS, Stanko Gergolj (2/2), Tomaž Strgar, Matjaž Ambrožič",,,06_Kognitivna
2005,13.10.2005,"Kognitivna konferenca IJS, Drago K. Ocvirk, Primož Škoberne",,,06_Kognitivna
2005,13.10.2005,"Kognitivna konferenca IJS, Vesna Periček Krapež, Robert Petkovšek, Stanko Gergolj (1/2)",,,06_Kognitivna
2005,13.10.2005,"Kognitivna konferenca IJS, Okrogla miza 1",,,06_Kognitivna
2005,13.10.2005,"Kognitivna konferenca IJS, Zoran Mihajlović (3 min.), Darja Cveh Mihajlović, Barbara Novak Škarje, Janez Musek + 10 min. okrogla miza",,,06_Kognitivna
2005,13.10.2005,"Kognitivna konferenca IJS, Okrogla miza 2",,,06_Kognitivna
2005,13.10.2005,"Kognitivna konferenca IJS, Jurij Tošič & Janez Musek, Matjaž Gams, Janez Musek",,,06_Kognitivna
2005,25.1.2005,"Install fest, Kaseta 8, Varnost - Jure Koren 00:24:00, Igre Polž 24:00 -",,,06_Kognitivna
2005,29.1.2005,"Linux fest 11, Kaseta 7, Ugriznimo v jedro 00-36', Kaseta 7, Janez Trenz, Varnost - Jure Koren, 36'-1h02'",,,06_Kognitivna
2005,29.1.2005,"Linux fest 11, Kaseta 6, Strežniki, Andraž Sraka, 0'0-37 32''",,Andraž Sraka,06_Kognitivna
2005,29.1.2005,"Linux fest 11, Kaseta 5, Mreža, Rok Papež, 0-22:07, Samba, Stojan Rančič, 22:07-1:02:00",,"Rok Papez, Stojan Rancic",06_Kognitivna
2005,29.1.2005,"Install fest Pingo, Kaseta 2, Uvod v pingo, Aleš Košir, Namizje Nejc Škoberne",,"Ales Kosir, Nejc Skoberne",06_Kognitivna
2005,29.1.2005,"Linux fest 11, Kaseta 1, Uvod v pingo, Aleš Košir, namestitev",,Aleš Košir,06_Kognitivna
2005,29.1.2005,"Linux fest 11, Kaseta 3, Namizje, Nejc Škoberne 00-29:58, ?? Sound, Miha Tomšič 29:58",,"Nejc Skoberne, Miha Tomsic",06_Kognitivna
2005,29.11.2005,"Linux fest 11, kaseta 4 Sound, Miha Tomšič 0-20:47, Mreža, Rok Papež 20.47-",,"Miha Tomsic, Rok Papez",06_Kognitivna
2005,1.6.2005,"Metelkova Rušitev Gam, 0:00-9:05",,,06_Kognitivna
2005,18.2.2005,? ?; boštjan,,,06_Kognitivna
2005,29.9.2005,OO.org and XUL - embeding Gecko in 000.org Stephen Schäfer,,Stephen Schäfer,10_00oCON2005 Koper
2005,30.9.2005,OOoCON - Doing QA at Openoffice Joost Andrae 00:46:00,,Joost Andrae,10_00oCON2005 Koper
2005,30.9.2005,OOoCON - Koper Gledališče TheOpenoffice.org ECDL Angelka Goezlser,,Angelka Goezsler,10_00oCON2005 Koper
2005,20.9.2005,OOoCON - Intervju z organizatorji,,,10_00oCON2005 Koper
2005,29.9.2005,"OOoCON - Dha Nan Jay Kesear Michael Leibovitz, Profiling, tools approaches",,Dha Nan Jay Kesear Michael Leibovitz,10_00oCON2005 Koper
2005,29.9.2005,OOoCON.ORG - The Cairo Canvas backend Radek Doalik,,Radek Doalik,10_00oCON2005 Koper
2005,29.9.2005,"Koper, OOOCON, gledališče, Mala dvorana Openoffice.org in Vienna city administration",,,10_00oCON2005 Koper
2005,30.9.2005,"Koper, OOOCON, gledališče, Openoffice.org in Slovenian High Schools",,Renato Lukač,10_00oCON2005 Koper
2005,30.9.2005,"Koper, OOOCON, gledališče, Introducing opensource SW - including openoffice.org into Slovenian schools",,Mojca Tomažin,10_00oCON2005 Koper
2005,29.9.2005,"Koper, OOOCON, gledališče, gledališče What's new in ooo 2.0 and staroffice 8?",,Erwin Tenhumberg,10_00oCON2005 Koper
2005,29.9.2005,"Tiskovka OOOconf 2005, Koper",,,10_00oCON2005 Koper
2005,30.9.2005,OOOCON Interviews Janek ?? #2,,,10_00oCON2005 Koper
2005,27-09-28.09.2005,"OOOCON Interview #1 Louis Suarez 0-10:42, Erwin Tenhumberg, Andre Schäbel ",,"Louis Suarez Potts, Erwin Tenhumberg, Andre Schäbel",10_00oCON2005 Koper
2005,30.9.2005,OOoconf E-education on the national level Urska KEY2/2,,,10_00oCON2005 Koper
2005,30.9.2005,"OOOCON Koper, gledališče, Lowering the barriers in education Carrera?",,Carrera?,10_00oCON2005 Koper
