navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,popisovalec,stanje,zgodovina,polica
,,,,,,,,,,,,,D3-6
vrste eksponatov:,,Prenosnik,toshiba,satellite s310cdt,30,24,5,1995,pa1262eyx-pe95,bostjan,"vecji siv prenosnik, nekaj rjavih lis na spodnji strani",,D3-6
Igralna konzola,,prenosnik,lenovo,ibm thinkpad,27,24,3,2008,6366-k7g l3-a1664,bostjan,"manjsi crn prenosnik, precej popraskan, ostanki lepila od nalepk na pokrovu",,D3-6
Mrežna oprema,,prenosnik,epson,epson,31,30,7,,,bostjan,"velik bel prenosnik, izropan - manjkajo tipke, nalepka modela, disketna enota, pomnilnik",,D3-6
Radio / Televizija,,terminal,digital,vt420,33,33,33,1992,s224731951,bostjan,"porumenel, na zadni strani nalepka ""tip pri doo""",,D3-6
Dlančnik/Kalkulator,,monitor,getronics,visa fm 1400,33,33,35,,gn21310,bostjan,"umazan, rumen gumb za priziganje spredaj",,D3-6
Ostalo,,monitor,ibm,ps/1,30,40,30,1991,55-f6405,bostjan,rahlo obdrajsan na zgornji strani,,D3-6
Podatkovni pogon,,monitor,atari,sm124,25,25,25,1985,n1510417136,bostjan,,ff,D3-6
Tiskalnik,,monitor,atari,sm124,25,25,25,,,bostjan,"gambit mk, ff inv st 6645",ff,D3-6
Komponenta,,monitor,atari,sm124,25,25,25,1990,n1054588268,bostjan,nalepka na prvi strani,,D3-6
Terminal,,monitor,atari,sm124,25,25,25,1986,n16c4094512,bostjan,ff inv 103770,ff,D3-6
Nosilec podatkov,,monitor,atari,sm124,25,25,25,1989,n1924429524,bostjan,,ff,D3-6
Vnosna naprava,,monitor,atari,sm124,25,25,25,,,bostjan,"gambit mk, ff inv st 6364",ff,D3-6
Monitor,,terminal,icl,drs m5,32,32,32,,39169,bostjan,ostanki lepila naleph zgoraj,,D3-6
Računalnik,,Računalnik,apple,macintosh SE fdhd,20,20,30,1988,ck00503hb01,bostjan,ostanki lepila okrog zaslona,,D3-6
,,monitor,commodore,76bm13,30,30,30,,,bostjan,na zadnji strani nalepka elektrokovina,,D3-6
"miši, joysticki, napajalniki ipd., se vpisejo posebej, ne kot del računalnika / konzole",,Računalnik,ibm,ps/1 2133,46,42,12,,2y55000a2m1,bostjan,"umazan, na sprednji strani ostanki nalepk, nolan nalepke",,D3-6
,,Računalnik,ibm,ps/1,40,30,10,,gc55008w2w9,bostjan,"no lan nalepke zadaj, modra intel inside spredaj",,D3-6
"če za kak primerek nisi prepričan/a, kaj narest, ga raje pusti za kasneje",,Računalnik,ibm,ps/1,40,30,10,,ck55003h3x0,bostjan,"no lan nalepke zadaj, 486dx nalepka pod loputo",,D3-6
,,komponenta,commodore,napajalnik,8,13,7,,bv 830 810.01,mateja,lepo ohranjen,,D3-6
"ja, dejansko rabiš meter, da zmeriš velikost",,komponenta,commodore,napajalnik,8,13,7,,bv 220-0-03805,mateja,"lepo ohranjen, sicer malce porumenel",,D3-6
,,komponenta,commodore,napajalnik,8,13,7,,bv 830810.01,mateja,lepo ohranjen,,D3-6
"pod stanje vnesi vizualno prepoznavne znake - barve, oblike, nalepke, praske, poškodbe",,Računalnik,icl,drs 6000,40,40,12,,,bostjan,"namizni miniracunalnik, tezek, veliko vhodov zadaj, ostanki nalepke zgoraj spredaj desno",,D3-6
,,Računalnik,sinclair,zx spectrum,20,15,3,,020-958367,bostjan,"ostanki lepila spodaj, nalepka oum-2 zadaj",,D3-6
,,Računalnik,sinclair,zx spectrum,20,15,3,,021-974195,bostjan,"povisan s kovinskim vmesnikom, zelena tipka zadaj",,D3-6
,,prenosnik,jetta computers,jetbook 386sx,25,20,5,1993,,bostjan,"manjsi siv prenosnik, polomljeni pokrovcki pantov, pisana tipkovnica",,D3-6
,,komponenta,commodore,napajalnik,8,13,7,,488,bostjan,"bolj tipične bele barve, oblika bolj kvadratna",,D3-6
,,podatkovni nosilec,toshiba,fdd attachment case,12,16,2,,,bostjan,"majhen siv zunanje ohisje za fdd, spodaj navodila za uporabo",,D3-6
,,komponenta,sinclair,napajalnik,7,11,6,,eb 912-a ebro,mateja,"lepo ohranjen, bolj kvadraten, črn",,D3-6
,,podatkovni nosilec,neznan,zunanji disk,15,25,15,,,bostjan,"majhen zunanji cdrom+hdd, scsi konektorji zadaj",,D3-6
,,napajalnik,jetta computers,jetbook-ap302,5,15,5,,92110173,bostjan,vecji bel napajalnik za prenosnik,,D3-6
,,napajalnik,acro,anb-a15,5,12,5,,,bostjan,"manjsi siv napajalnik za prenosnik, oblepljen z vijolicnim trakom",,D3-6
,,vnosna naprava,next,miška,6,10,3,,aaf 1532643,mateja,"lepa črna, kvadratna miška. Zgoraj logo proizvajalca.",,D3-6
,,vnosna naprava,next,tipkovnica,45,15,5,,abp 2124350,mateja,Zelo lepo ohranjena. Zgoraj logo proizvajalca.,,D3-6
,,Računalnik,IJS,pmp-11,40,40,10,,,bostjan,"aluminjast racunalnik, luknje na vrhu, znacilen logo na prvi strani, noter sestavni deli",bor,D3-6
,,Računalnik,ibm,325T,40,40,10,,1b5500f4638,bostjan,"zadaj nolan nalepka, kljucek spredaj, nalepka zkr0304r spredaj",,D3-6
,,Računalnik,hp,proliant ml150,70,25,50,,416025-041,bostjan,"vecji crn tower, spredaj intel xeon inside",,D3-6
,,nosilec podatkov,ibm,3370 disk,24,54,43,,,mateja,Lepo ohranjen. Zraven navodila.,,D3-6
,,Računalnik,ibm,eserver,70,25,50,,kdkvk9x,bostjan,"vecji crn tower, spredaj izmenljivi diski",,D3-6
,,vnosna naprava,CD control data,miska,5,8,2,,msc d0078532,bostjan,"miska s tremi zaobljenimi gumbi, v neprepoznavni beli umazani kartonski skatli z nalepko silicon graphics",,D3-6
,,vnosna naprava,apple,tipkovnica,30,8,3,,m745m0110a 860,bostjan,starinska apple tipkovnica model m0110a,,D3-6
,,vnosna naprava,apple,keyboard II,30,10,3,1990,mi0514x903n,bostjan,,,D3-6
,,ostalo,drm,skatla kablov,30,60,30,,,bostjan,skatla kablov za miniracunalnike in SGIje,,D3-6
,,vnosna naprava,silicongraphics,tipkovnica,35,20,3,,119339,bostjan,spodaj inv nalepka 13607,,D3-6
,,vnosna naprava,silicongraphics,miska,4,7,3,,106284,bostjan,"miska s tremi gumbi, skrajna dva imata vdolbine za prste",,D3-6
,,vnosna naprava,logitech,miska,4,7,3,,m/n m-md15l,bostjan,"mala bela serijska mis s tremi gumbi, kabel polepljen s salotejpom",,D3-6
,,napajalnik,adapter,cad-2000,4,12,4,,8323029,bostjan,siv 19V napajalnik,,D3-6
,,komponenta,commodore,napajalnik,8,13,7,,bv 830 810.01,mateja,Malce umazan.,VH00057,D3-6
,,podatkovni pogon,commodore,commodore datassette ,20,16,5,,j04 707394,mateja,Lep oohranjen. Malce umazan.,VH00057,D3-6
,,vnosna naprava,neznan,joystick,11,11,20,,,mateja,"Na zgornji strani ima 2 rumena gumba, na ročki 1. Zgoraj tudi nalepka JOYSTICK.",VH00057,D3-6
,,komponenta,commodore,at/xt PC stikalo,7,9,2,,,mateja,Na zgornji strani nalepka AT/XT PC commodore SERVIS 061-621-066. Na spodnji strani nalepka s slabo vidnim napisom MODUL 16 GARANCIJA.,VH00057,D3-6
,,računalnik,Sun,SparcStation 5 544,41,41,8,,504M1616,mateja,Lep. Na spodnji strani nalepka proizvajalca. Ob obračanju se sliši neke premike iz nostranjosti.,,D3-6
,,vnosna naprava,Star Micronics Co.,Star tiskalnik SP200,16,23,20,,702070600086,mateja,"Umazan, drugače dobro ohranjen. Kabel za napajanje vtaknjen.",,D3-6
,,nosilec podatkov,Graham Magnetics,Magnetni trak,24,24,3,,,bostjan,"Lepo ohranjen, v ohišju. Vidna nalepka z napisom ULTIMAG, Certified Zero Defect at 1600 BPI and 6250 CPI. Graham magnetics. Vidna tudi nalepka s številko 1. Zadaj ostanki dvostranskega lepila - očitno bil na eni od Kiberpipinih razstav.",,D3-6
,,prenosnik,arche,np-201,30,25,5,1992,altech 6350/92a,bostjan,"spodaj nalepke servisa in trak-blazinice, nad tipkovnico ostanki stekle baterije",,D3-6
,,prenosnik,first international computer,leo designote ,25,20,5,1995,comtron 493,bostjan,"spodaj nalepka comtron, na pokrovu nalepka PII, pocen levi pant",,D3-6
,,prenosnik,acro,anb-386/s20,25,20,5,1991,ac-4927-0010,bostjan,"zelo skatlast temno siv, spodaj loputa za koprocesor, pod pokrovom napis gorenjePoint",,D3-6
,,Računalnik,atari,1040st,40,25,10,,1040-296,bostjan,"porumenel po robovih, num pad polepljen",ff,D3-6
,,Računalnik,atari,1040st,40,25,10,,a174u4056117,bostjan,zadaj nalepka ff 5986,ff,D3-6
,,Računalnik,atari,1040st,40,25,10,,,bostjan,"zadaj nalepka ff 6345, spodaj nalepka nemske poste",ff,D3-6
,,Računalnik,atari,1040st,40,25,10,,a169c4002992,bostjan,"zelo porumenel, num tipke imajo male dodatne nalepke",ff,D3-6
,,Računalnik,atari,1040st,40,25,10,,,bostjan,zadaj nalepka ff 6080,ff,D3-6
,,vnosna naprava,atari,miska,5,8,2,,p1825026616,bostjan,,ff,D3-6
,,vnosna naprava,atari,miska,5,8,2,,,bostjan,namesto serijske pise 'slavistika,ff,D3-6
,,tiskalnik,fujitsu,dl700,40,20,25,1995,vt061327,bostjan,"nalepka liko pris, notri listek ""izum eprom""",ff,D3-6
,,Mrežna oprema,emulex,performance 4000,30,25,10,,eth 00-00-c9-00-ef-1f,bostjan,"zadaj inv st 14-055 in 14-047, napis ""servis 2006"", spredaj inv nalepka IZJM maribor",ff,D3-6
,,tiskalnik,nec,pinwriter p6 plus,35,35,15,1989,gambit,bostjan,"spredaj nalepka ""nezno prosim nezno"", odlomljen nosilec za papir, prilepljen zraven",ff,D3-6
,,tiskalnik,fujitsu,dl900,40,20,25,1992,vf 85894,bostjan,"odprt in slabo zaprt, zadaj inv st 14-022",ff,D3-6
,,telefon,iskra,,35,25,5,,138351,bostjan,"v original skatli, rjav",idc,D3-6
,,Računalnik,arne,,40,30,15,1992,0258/92,bostjan,"spredaj nalepka z navodili za ""eva"", zadaj s flomastrom napisano slavistika",ff,D3-6
,,Računalnik,apple,g3 blue,30,30,30,1998,k4849584f8aa,bostjan,manjka pokrov zadaj spodaj,k4 / soncek,D3-6
,,monitor,ibm,5151,35,25,25,,,bostjan,bp,,D3-6
,,tiskalnik,fujitsu,dl4400,50,30,20,1998,d06b-2830-b115 001212,bostjan,"a3 tiskalnik, ff inventarna 10283 zadaj",ff,D3-6
,,televizor,orion,,50,30,30,,,bostjan,genericen vecji tv,,D3-6
,,televizor,ferguson tx,movie star,40,25,25,,,bostjan,bel tv z okroglo anteno,,D3-6
,,Računalnik,apple,g3 blue,30,30,30,,pt0186ayj7c,bostjan,ostanki traku po boku,,D3-6
,,nosilec podatkov,3M,Magnetni trak,30,30,3,,,mateja,"Lepo ohranjen. V plastičnem ohišju. Vidna nalepka SCOTCH 777, 3M, for use to 3200 F.C.I. Vidna tudi nalepka s številko 2 (bil na Kiberpipini razstavi?).  Zadaj nalepka 16089 2 07.",,D3-6
