navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
,,,,,,,,,,,,,
vrste eksponatov:,,Komponenta,Electronica Cerler s. a.,Matična plošča,22,37,3,,61023924,D4,mateja,"Lepo ohranjena plošča, z več čipi, etc. V rjavi škatli. ",
Igralna konzola,,Računalnik,Commodore. ZDA,Commodore C64,41,21,8,1984,WG A375510,D4,mateja,Lepo ohranjen. Zadaj ima tipko za reset. Na spodnji strani nalepka proizvajalca. Narejen v Z Nemčiji. ,VH00038
Mrežna oprema,,Podatkovni pogon,Commodore. ZDA,Commodore C2N Cassette,20,16,5,,2733244,D4,mateja,"Lepo ohranjen. V kasetniku ima kaseto ""Quest for tires"", etc.",VH00038
Radio / Televizija,,Komponenta,Commodore. ZDA,Napajalnik ,14,8,8,1986/4,,D4,mateja,Rjavskaste barve. Na spodnji strani črn žig APRIL 1986,VH00038
Dlančnik/Kalkulator,,Komponenta,Commodore. ZDA,Napajalnik ,14,8,8,1984/1,,D4,mateja,Rjavskaste barve. Na spodnji strani rumen žig JAN 1984,VH00038
Ostalo,,Vnosna naprava,C&L,Joystick Gun shot,13,10,18,,,D4,,"Podnožje rumene barve, ročica ""commodorjeva"" zelena. V notranjosti se najbrž premika en vijak. ",VH00038
Podatkovni pogon,,Vnosna naprava,,Joystick CrackShot,8,11,17,,,D4,,"Črn, z rdečima gumboma. Zgoraj napis CrackShot. Spodaj na vijaku napisano Made in Hong Kong.",VH00038
Tiskalnik,,Telefon,"Iskra, Slovenija",Telefon ETA851/01,20,23,8,1992,106272,D4,,Rumene barve. Zgoraj polno nekih nalepk. Na spodnji strani nalepka proizvajalca. S flumastrom napisano MOJCA. Žig s slovenskim grbom.,
Komponenta,,Telefon,"Iskra, Jugoslavija",Telefon ATA-31K,16,21,9,,,D4,,Zelene barve. Zgoraj manjka pokrov. Desno pod številčnico nalepka s 383. Zraven ima še vtičnico za v steno.,
Terminal,,Telefon,"Iskra, Jugoslavija",Telefon ETA86,20,23,8,1987,88702,D4,,"Bež barve, s črno slušalko. Na spodnji strani nalepka proizvajalca. ",
Nosilec podatkov,,Telefon,"Iskra, Jugoslavija",Telefon ATA-61,14,20,11,,,D4,,Oranžne barve. S priključkom za v steno. ,
Vnosna naprava,,Telefon,"Iskra, Jugoslavija",Telefon ETA851/01,20,23,8,,125377,D4,,"Rdeče barve, s črno slušalko. Na zadnji strani nalepka proizvajalca. Slabo viden datum proizvodnje. S priključkom za v steno.",
Monitor,,Telefon,"Iskra, Slovenija",Telefon Comet (ETA155S),17,24,8,1993,114660,D4,,"Temno modre barve, s črno slušalko. Na spodnji strani nalepka proizvajalca. S priključkom za v steno.",
Računalnik,,Telefon,"Iskra, Jugoslavija",Telefon ETA86/10S,20,23,8,1988,51049,D4,,"Bež barve, s črno slušalko. Na spodnji strani nalepka proizvajalca. Kabel za vtičnoco v steni zelo kratek.",
,,Telefon,"Iskra, Jugoslavija",Telefon ETA851/01,20,23,8,1988,138338,D4,,"Rjav, s črno slušalko. Pod slušalko napisano DEK. Na spodnji strani nalepka proizvajalca.  Poleg kabel za v steno.",
"miši, joysticki, napajalniki ipd., se vpisejo posebej, ne kot del računalnika / konzole",,Vnosna naprava,"Silicon Graphics, ZDA",Miška (model: M-S43),7,12,3,,LZA90952808,D4,,Leva polovica porumenela. ,
,,Vnosna naprava,"Silicon Graphics, ZDA",Miška S100,6,10,3,,K718074,D4,,"Malce porumenela. Značilne ""granitne"" barve.",
"če za kak primerek nisi prepričan/a, kaj narest, ga raje pusti za kasneje",,Vnosna naprava,"Silicon Graphics, ZDA",SGI Indy kamera,16,5,6,,13479,D4,,"Zelo porumenela ta značilna ""granitna"" barva. S kablom.",
,,Nosilec podatkov,Digital Device System,Podatkovna kaseta,8,6,2,,,D4,,"Kaseta, 4mm, 4-60m. Na njej Spaceware, ver. 5.1. SGI-IRIX Dec 1992.",
