navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
,,,,,,,,,,,,,
vrste eksponatov:,,prenosnik,Toshiba,satellite s310cdt,30,24,5,1995,pa1262eyx-pe95,,bostjan,"vecji siv prenosnik, nekaj rjavih lis na spodnji strani",zootfly
Igralna konzola,,Ostalo,"IBM, ZDA",Rezervni deli za trdi disk (glava),18,10,2,,,D7,mateja,"3 glave za prebiranje podatkov s trdega diska. Shranjeni v škatli. V škatli tudi zelena pena, ki že pošteno razpada. Na zgornji strani nalepke s številko izdelka (p/n 2180560),",VH00051
Mrežna oprema,,Ostalo,,Plošča z vezjem in čipi,11,9,1,,,D7,mateja,"Shranjeno v škatli, ki pa ni originalna. Na njej več IBM in Texas Instruments čipov. ",VH00051
Radio / Televizija,,Ostalo,,Plošča z vezjem in čipi,14,12,1,,,D7,mateja,Lep primerek vezja. S svinčnikom napisano E6.,VH00051
Dlančnik/Kalkulator,,Komponenta,,AC adapter (model: SPA-2030),7,10,6,,,D7,mateja,Lepo ohranjen. Na njem nalepka z napisom modela in input in output podatki. Prišel poleh prenosnika Halikana. Je skupaj v torbici.,
Ostalo,,Prenosnik,"CHAPLET SYSTEMS INC., Tajvan",Prenosnik Halikan LX2002,30,38,8,,G0H0132,D7,mateja,"Res lep. Shranjen v torbici posebej zanj. V torbici je tudi adapter in navodila za Microsoft MS-DOS, Operating System Version 3.3.",http://www.1000bit.it/ad/bro/chaplet/ChapletSystems-HALIKAN.pdf
Podatkovni pogon,,Prenosnik,"Toshiba, Japonska",Satellite 2520 CDS (model: PAS252E),31,26,5,,19015518,D7,mateja,"Zgoraj umazan. Ko odpreš pokrov, nad tipkovnico ""zvočnik"" malce rjast. Shranjen v črni prenosni torbi, zgoraj napis Toshiba.",
Tiskalnik,,Tisklanik,"Siemens, Nemčija",Tiskalnik model T-2000,71,63,27,,79V13257,prostostojeć,mateja,Baje ne dela. ,VH00054
Komponenta,,Računalnik,Inštitut Jožefa Stefana,PMP-11,44,60,11,,,D4,mateja,Na sprednji strani kovinska ploščica na kateri je logo IJS in napis PMP-11. Napisana številka IJS 40. Notranjost je kar porazna. ,VH00054
Terminal,,Vnosna naprava,"Atari cporporation, ZDA",Kasetar Atari 1010,19,15,7,1982,/YJFA 15803103,D7,mateja,"Lepo ohranjen. V originalni škatli. Zraven tudi kabel, s katerim se je priključil na računalnik.",
Nosilec podatkov,,Podatkovni pogon,"Digital, ZDA",DLT tračni pogon (TZ87N),15,24,9,,CX446F2361,D7,mateja,Shranjen v plastični vrečki. Zelo lep primerek.,
Vnosna naprava,,Komponenta,"IBM, ZDA",Razdelilnik z 8 vhodi (model: 3299 2),34,20,8,,,D7,mateja,"Lepo ohranjen. Spredaj levo nalepka proizvajalca, 8 vhodov ter priključek za napajanje.Na spodnji strani nalepka proizvajalca. ",
Monitor,,Vnosna naprava,"Aquarius Systems Inc., Tajvan ",Disketna enota (model: ASI-009-1),28,26,9,,,D7,mateja,"Lepo ohranjena. Z dvema enotama za 3.5 inčne diskete. Na sprednji strani še nalepka proizvajalca. Desno rdeč gumb za priklop. Zgoraj rumen lepilni trak, na katerem piše: Printer Primož Rus, Bežigrad, še pride. Zadaj kovinska ploščica proizvajalca. ",
Računalnik,,Računalnik,MSI,Računalnik MSI,31,36,9,,,D4,mateja,"Malce obrabljen. Sprednji del v kombinaciji modre in bež (ki je že porumenela). Zgoraj inventarna nalepka Casino 0065200. Na desnem boku nalepka SW, ki je bil inštaliran gor, nalepka serviserja STING. Na levem boku nalepka, na kateri piše CATERHAM.",
,,Prenosnik,"Compaq, ZDA",Armada E500,32,25,4,,,D7,mateja,Lep črn prenosnik. A kar umazan. Spredaj ima še enoto za 3.5 inčne diskete in CD-je.,
"miši, joysticki, napajalniki ipd., se vpisejo posebej, ne kot del računalnika / konzole",,Prenosnik,IPC Corporation Ltd,Porta-PC P5E-486/B&W,28,22,5,,P5EM210137,D7,mateja,Lep temno siv prenostnik. Spodaj spredaj ima še enoto za 3.5 inčno disketo. Zraven tudi napajalnik. Vse skupaj shranjeno v črni Dell torbi.,
,,Komponenta,IPC Corporation Ltd,Napajalnik za Porta-PC,8,14,4,,,D7,mateja,"Lepo ohranjen. Ni toliko težek, kot nekateri napajalniki. ",
"če za kak primerek nisi prepričan/a, kaj narest, ga raje pusti za kasneje",,Telefon,"Iskra, Jugoslavija",Ata 22,,,,,,v pritličju,mateja,"Sive barve. Na slušalki še nalepka s pomembnimi telefonskimi številkami. Na sprednji strani, v reži za telefonsko, listek s številko:",VH00037
,,Komponenta,"Nintendo, Japonska",Game boy kamera (model: MGB-006).,6,12,3,,CE10361012,D6,mateja,"Sivo zelena kombinacija. Zgoraj kroglica s kamero, spodaj konektor za priklop na Game boy. Lepo ohranjena. Dela.",VH00074
"ja, dejansko rabiš meter, da zmeriš velikost",,Komponenta,"Nintendo, Japonska",Game boy kamera (model: MGB-006).,6,12,3,,CE10830192,D6,mateja,"Game boy kamera, v originalni škatli, z navodili. Kamera je sivo modre barve, model: MGB-006. V škatli priložen tudi račun.",VH00075
,,Nosilec podatkov,,USB ključek,7,2,1,,,D7,mateja,USB ključek na katerega je prilepljen bel lepilni trak z napisom: Zbirka slovenskih iger - Andrej Kovačič.,
"pod stanje vnesi vizualno prepoznavne znake - barve, oblike, nalepke, praske, poškodbe",,Vnosna naprava,"SyQuest Technology, Inc., ZDA",Disketna enota SyQuest,16,25,6,,,D4,mateja,SyQuest disketna enota. Spredaj napis 270 MBs. V njej še ena disketa.Zraven tudi kabel.,
,,Komponenta,"Dotop Corp., Tajvan",Konverter (model: Magic-II Plus),6,10,4,,,D4,mateja,Temno siv konverter. Zgoraj napis Magic Convertor II Plus.,
,,Nosilec podatkov,"SyQuest Technology, Inc., ZDA",3.5 inčna disketa SyQuest,10,10,1,1992,709F14A,D4,mateja,"Disketa je shranjena v plastičnem etuiju. Na njej napis Backup all Pas TXT sigrant. Na nalepki, ki je gledala ven iz disketne enote napisano 003.",
"če sta dva predmeta popolnoma enaka, oba brez serijske, opis bi bil tudi enak, NUJNO pri enemu dodaj npr. ""dobro ohranjen"". Ne smemo imeti dveh/treh popolnoma identičnih zapisov.",,Nosilec podatkov,"SyQuest Technology, Inc., ZDA",3.5 inčna disketa SyQuest (270MB),10,10,1,1994,70BB77B,D4,mateja,Disketa je shranjena v plastičnem etuiju. Na njej je nalepljen listek z napisom: just pdf razno syquest wi winntup.,
,,Nosilec podatkov,"SyQuest Technology, Inc., ZDA",3.5 inčna disketa SyQuest (270MB),10,10,1,1994,70A4212,D4,mateja,Disketa je shranjena v plastičnem etuiju. Na nalepki napisano 002.,
,,Nosilec podatkov,"SyQuest Technology, Inc., ZDA",3.5 inčna disketa SyQuest (270MB),10,10,1,1994,7006E73,D4,mateja,Disketa je shranjena v plastičnem etuiju. Na njej je nalepljen listek z napisom:pictures .... (neberljivo).,
,,Nosilec podatkov,"SyQuest Technology, Inc., ZDA",3.5 inčna disketa SyQuest (270MB),10,10,1,1994,70852CB,D4,mateja,Disketa je shranjena v plastičnem etuiju. Na njej je nalepljen listek z napisom: F: 2/2.,
,,Nosilec podatkov,"SyQuest Technology, Inc., ZDA",3.5 inčna disketa SyQuest (270MB),10,10,1,1994,701F39C,D4,mateja,Disketa je shranjena v plastičnem etuiju. Na njej je nalepljen listek z napisom: D:\F in D:\E.,
