navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,število delov,popisovalec,stanje,zgodovina
,,,,,,,,,,,,,
vrste eksponatov:,,prenosnik,toshiba,satellite s310cdt,30,24,5,1995,pa1262eyx-pe95,,bostjan,"vecji siv prenosnik, nekaj rjavih lis na spodnji strani",
Igralna konzola,,prenosnik,lenovo,ibm thinkpad,27,24,3,2008,6366-k7g l3-a1664,,bostjan,"manjsi crn prenosnik, precej popraskan, ostanki lepila od nalepk na pokrovu",
Mrežna oprema,,prenosnik,epson,epson,31,30,7,,,,bostjan,"velik bel prenosnik, izropan - manjkajo tipke, nalepka modela, disketna enota, pomnilnik",
Radio / Televizija,,terminal,digital,vt420,33,33,33,1992,s224731951,,bostjan,"porumenel, na zadni strani nalepka ""tip pri doo""",
Dlančnik/Kalkulator,,monitor,getronics,visa fm 1400,33,33,35,,gn21310,,bostjan,"umazan, rumen gumb za priziganje spredaj",
Ostalo,,monitor,ibm,ps/1,30,40,30,1991,55-f6405,,bostjan,rahlo obdrajsan na zgornji strani,
Podatkovni pogon,,monitor,atari,sm124,,,,1985,n1510417136,,bostjan,,ff
Tiskalnik,,monitor,atari,sm124,,,,,,,bostjan,"gambit mk, ff inv st 6645",ff
Komponenta,,monitor,atari,sm124,,,,1990,n1054588268,,bostjan,nalepka na prvi strani,
Terminal,,monitor,atari,sm124,,,,1986,n16c4094512,,bostjan,ff inv 103770,ff
Nosilec podatkov,,monitor,atari,sm124,,,,1989,n1924429524,,bostjan,,ff
Vnosna naprava,,monitor,atari,sm124,,,,,,,bostjan,"gambit mk, ff inv st 6364",ff
Monitor,,terminal,icl,drs m5,32,32,32,,39169,,bostjan,ostanki lepila naleph zgoraj,
Računalnik,,racunalnik,apple,macintosh SE fdhd,,,,1988,ck00503hb01,,bostjan,ostanki lepila okrog zaslona,
,,monitor,commodore,76bm13,30,30,30,,,,bostjan,na zadnji strani nalepka elektrokovina,
"miši, joysticki, napajalniki ipd., se vpisejo posebej, ne kot del računalnika / konzole",,racunalnik,ibm,ps/1 2133,46,42,12,,2y55000a2m1,,bostjan,"umazan, na sprednji strani ostanki nalepk, nolan nalepke",
,,racunalnik,ibm,ps/1,,,,,gc55008w2w9,,bostjan,"no lan nalepke zadaj, modra intel inside spredaj",
