navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,število delov,popisovalec,stanje,zgodovina,polica
,,,,,,,,,,,,,,
vrste eksponatov:,,Igralna konzola,Atari,Atari 2600,26,17,4,,A1 791400475,,marko,črna konzola s srebrno letvico z mavrico barv,zootfly,D1
Igralna konzola,,Igralna konzola,Atari ,Atari 7800 ProSystem,29,22,8,,72R4BR A1 775954682,,marko,črna konzola s srebrno letvico z mavrico barv,zootfly,D1
Mrežna oprema,,Igralna konzola,Atari,Lynx,23,11,5,,,,marko,črna konzola v original škatli bele barve,zootfly,D1
Radio / Televizija,,Igralna konzola,Sega,Master System/Power Base,36,17,7,,16202664,,marko,črna konzola z delno rdečo masko,zootfly,D1
Dlančnik/Kalkulator,,Igralna konzola,Nintendo,Super Nintendo,18,18,7,1991,UC306627079,,marko,siva konzola z vijoličastima gumboma,zootfly,D1
Ostalo,,Igralna konzola,Nintendo,GameCube,15,20,11,2002, DS202454403,,marko,črna konzola v original škatli bele barve,zootfly,D1
Podatkovni pogon,,Igralna konzola,RCA,Studio II Home TV Programmer,38,18,6,1976,36271,,marko,rjava konzola v original škatli belo-oranžne barve,zootfly,D1
Tiskalnik,,Igralna konzola,Atari,Jaguar,25,25,6,,M24C011204,,marko,črna konzola z rdečim logom in gumbom,zootfly,D1
Komponenta,,Igralna konzola,Coleco,Coleco Vision,38,24,7,,,,marko,črna konzola s srebrno letvico z mavričnim logom,zootfly,D1
Terminal,,Komponenta,Nintendo,Super Game Boy,14,12,2,1994,,,marko,sive barve,zootfly,D1
Nosilec podatkov,,Komponenta,Galoob,Game Genie - Sega Genesis,11,10,2,1992,4514RF,,marko,črne barve,zootfly,D1
Vnosna naprava,,Komponenta,Galoob,Game Genie - Super Nintendo,14,12,3,1992,5482JA,,marko,temno sive barve,zootfly,D1
Monitor,,Komponenta,InterAct,GameShark Pro - Nintendo 64,11,8,2,,,,marko,črne barve s srebrnimi pikicami,zootfly,D1
Računalnik,,Komponenta,Nintendo,Nintendo 64 Transfer Pak,7,9,7,1998,,,marko,"zgoraj sive barve, spodaj prosojno",zootfly,D1
,,Komponenta,Nintendo,Nintendo 64 Rumble Pak,6,8,5,,,,marko,sive barve,zootfly,D1
