navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,popisovalec,stanje,zgodovina,polica
,,,,,,,,,,,,,
Radio / Televizija,,Vnosna naprava,Sony,PlayStation Controller SCPH-1080,14,8,5,,1,marko,sive barve,zootfly,D1
Ostalo,,Vnosna naprava,Sony,PlayStation Controller SCPH-1200,15,10,6,,1,marko,sive barve z analognima gobicama,zootfly,D1
,,Vnosna naprava,Sony,PS one Analog Controller,16,10,6,,1,marko,svetlo sive barve,zootfly,D1
"ja, dejansko rabiš meter, da zmeriš velikost",,Vnosna naprava,Nintendo,Nintendo 64 Controller,16,15,6,,1,marko,svetlo sive barve,zootfly,D1
,,Vnosna naprava,Panasonic,3DO Controller,17,7,3,,1,marko,črne barve s sivimi gumbi,zootfly,D1
,,Vnosna naprava,Sega,Dreamcast Controller,14,15,7,,1,marko,svetlo sive barve,zootfly,D1
,,Vnosna naprava,Nintendo,GameCube Controller,14,11,7,,1,marko,črne barve,zootfly,D1
,,Vnosna naprava,SVI,QuickShot II plus,14,10,17,,1,marko,črne barve z rdečim gumbom na ročki,zootfly,D1
,,Vnosna naprava,Atari,Atari 2600 Joystick,9,10,11,,1,marko,črne barve z oranžnim gumbom,zootfly,D1
,,Vnosna naprava,Nintendo,NES Controller,13,6,2,1993,1,marko,sive barve z rdečima gumboma,zootfly,D1
,,Vnosna naprava,Atari,Atari 5200 Controller,7,17,9,,1,marko,črne barve,zootfly,D1
,,Vnosna naprava,Atari,Atari Joystick,6,15,9,,1,marko,črne barve s srebrno letvico,zootfly,D1
,,Vnosna naprava,Fairchild,Channel F Controller,5,16,5,,1,marko,črne barve,zootfly,D1
,,Vnosna naprava,Sega,Control Pad,12,5,2,,1,marko,črne barve,zootfly,D1
