pdf	cover	pages	dir
1975-02.pdf	1975-02/00000000.jpg	35	geodetski vestnik
1976-04.pdf	1976-04/00000000.jpg	81	geodetski vestnik
1979_2.pdf	1979_2/00000000.jpg	96	geodetski vestnik
1979_4.pdf	1979_4/00000000.jpg	90	geodetski vestnik
1980_2.pdf	1980_2/00000000.jpg	85	geodetski vestnik
1981_1.pdf	1981_1/00000000.jpg	76	geodetski vestnik
1981_3.pdf	1981_3/00000000.jpg	72	geodetski vestnik
1982_2.pdf	1982_2/00000000.jpg	77	geodetski vestnik
1983-02.pdf	1983-02/00000000.jpg	71	geodetski vestnik
1983_2-3.pdf	1983_2-3/00000000.jpg	71	geodetski vestnik
1984_4.pdf	1984_4/00000000.jpg	101	geodetski vestnik
1987_1.pdf	1987_1/00000000.jpg	116	geodetski vestnik
1987_2.pdf	1987_2/00000000.jpg	99	geodetski vestnik
1987_3.pdf	1987_3/00000000.jpg	86	geodetski vestnik
1987_4.pdf	1987_4/00000000.jpg	124	geodetski vestnik
1988-03.pdf	1988-03/00000000.jpg	90	geodetski vestnik
1988_3-4.pdf	1988_3-4/00000000.jpg	90	geodetski vestnik
1989_1.pdf	1989_1/00000000.jpg	75	geodetski vestnik
1989_2.pdf	1989_2/00000000.jpg	73	geodetski vestnik
1990_1.pdf	1990_1/00000000.jpg	168	geodetski vestnik
1991_3.pdf	1991_3/00000000.jpg	134	geodetski vestnik
1992_1.pdf	1992_1/00000000.jpg	86	geodetski vestnik
