pdf	cover	pages	dir
MONITOR_PI-2010-07.pdf	MONITOR_PI-2010-07/00000000.jpg	96	monitor-pi
MONITOR_PI-2011-07.pdf	MONITOR_PI-2011-07/00000000.jpg	100	monitor-pi
MONITOR_PI-2012-07.pdf	MONITOR_PI-2012-07/00000000.jpg	100	monitor-pi
MONITOR_PI-2013-07.pdf	MONITOR_PI-2013-07/00000000.jpg	100	monitor-pi
MONITOR_PI-2015-07.pdf	MONITOR_PI-2015-07/00000000.jpg	97	monitor-pi
MONITOR_PI-2017-04.pdf	MONITOR_PI-2017-04/00000000.jpg	97	monitor-pi
MONITOR_PI-2018-04.pdf	MONITOR_PI-2018-04/00000000.jpg	100	monitor-pi
MONITOR_PI-2018-07.pdf	MONITOR_PI-2018-07/00000000.jpg	92	monitor-pi
MONITOR_PI-2019-04.pdf	MONITOR_PI-2019-04/00000000.jpg	100	monitor-pi
MONITOR_PI-2019-07.pdf	MONITOR_PI-2019-07/00000000.jpg	92	monitor-pi
MONITOR_PI-2019-08.pdf	MONITOR_PI-2019-08/00000000.jpg	92	monitor-pi
MONITOR_PI-2020-04.pdf	MONITOR_PI-2020-04/00000000.jpg	100	monitor-pi
MONITOR_PI-2020-07.pdf	MONITOR_PI-2020-07/00000000.jpg	92	monitor-pi
