eksponat	vrsta	serijska	leto	fotografije
Kompjuter PDF	Revija	1984-05	1984	http://revije.muzej.si/Kompjuter/KOM-1984-05.pdf
BIT PDF	Revija	1985-08	1985	http://revije.muzej.si/BIT/BIT-1985-08.pdf
BIT PDF	Revija	1984-10	1984	http://revije.muzej.si/BIT/BIT-1984-10.pdf
BIT PDF	Revija	1986-01	1986	http://revije.muzej.si/BIT/BIT-1986-01.pdf
BIT PDF	Revija	1984-07	1984	http://revije.muzej.si/BIT/BIT-1984-07.pdf
BIT PDF	Revija	1986-02	1986	http://revije.muzej.si/BIT/BIT-1986-02.pdf
BIT PDF	Revija	1984-06	1984	http://revije.muzej.si/BIT/BIT-1984-06.pdf
BIT PDF	Revija	1984-12	1984	http://revije.muzej.si/BIT/BIT-1984-12.pdf
BIT PDF	Revija	1984-09	1984	http://revije.muzej.si/BIT/BIT-1984-09.pdf
BIT PDF	Revija	1985-01	1985	http://revije.muzej.si/BIT/BIT-1985-01.pdf
BIT PDF	Revija	1985-03	1985	http://revije.muzej.si/BIT/BIT-1985-03.pdf
BIT PDF	Revija	1985-02	1985	http://revije.muzej.si/BIT/BIT-1985-02.pdf
BIT PDF	Revija	1985-12	1985	http://revije.muzej.si/BIT/BIT-1985-12.pdf
BIT PDF	Revija	1985-06	1985	http://revije.muzej.si/BIT/BIT-1985-06.pdf
BIT PDF	Revija	1985-11	1985	http://revije.muzej.si/BIT/BIT-1985-11.pdf
BIT PDF	Revija	1985-04	1985	http://revije.muzej.si/BIT/BIT-1985-04.pdf
Moj Mikro - hrvaški PDF	Revija	1990-12	1990	http://revije.muzej.si/Moj Mikro - hrvaški/MMH-1990-12.pdf
Moj Mikro - hrvaški PDF	Revija	1990-06	1990	http://revije.muzej.si/Moj Mikro - hrvaški/MMH-1990-06.pdf
Moj Mikro - hrvaški PDF	Revija	1990-07	1990	http://revije.muzej.si/Moj Mikro - hrvaški/MMH-1990-07.pdf
Moj Mikro - hrvaški PDF	Revija	1987-09	1987	http://revije.muzej.si/Moj Mikro - hrvaški/MMH-1987-09.pdf
Moj Mikro - hrvaški PDF	Revija	1990-05	1990	http://revije.muzej.si/Moj Mikro - hrvaški/MMH-1990-05.pdf
Moj Mikro - hrvaški PDF	Revija	1990-11	1990	http://revije.muzej.si/Moj Mikro - hrvaški/MMH-1990-11.pdf
Moj Mikro - hrvaški PDF	Revija	1990-10	1990	http://revije.muzej.si/Moj Mikro - hrvaški/MMH-1990-10.pdf
