pdf	cover	pages	dir
BIT-1984-06.pdf	BIT-1984-06/00000000.jpg	32	BIT
BIT-1984-07.pdf	BIT-1984-07/00000000.jpg	36	BIT
BIT-1984-09.pdf	BIT-1984-09/00000000.jpg	40	BIT
BIT-1984-10.pdf	BIT-1984-10/00000000.jpg	40	BIT
BIT-1984-12.pdf	BIT-1984-12/00000000.jpg	44	BIT
BIT-1985-01.pdf	BIT-1985-01/00000000.jpg	36	BIT
BIT-1985-02.pdf	BIT-1985-02/00000000.jpg	48	BIT
BIT-1985-03.pdf	BIT-1985-03/00000000.jpg	52	BIT
BIT-1985-04.pdf	BIT-1985-04/00000000.jpg	52	BIT
BIT-1985-06.pdf	BIT-1985-06/00000000.jpg	48	BIT
BIT-1985-08.pdf	BIT-1985-08/00000000.jpg	36	BIT
BIT-1985-11.pdf	BIT-1985-11/00000000.jpg	48	BIT
BIT-1985-12.pdf	BIT-1985-12/00000000.jpg	48	BIT
BIT-1986-01.pdf	BIT-1986-01/00000000.jpg	52	BIT
BIT-1986-02.pdf	BIT-1986-02/00000000.jpg	52	BIT
