pdf	cover	pages	dir
informatica-Vol_1,_No_1_1977.pdf	informatica-Vol_1,_No_1_1977/00000000.jpg	74	informatica
informatica-Vol_1,_No_2_1977.pdf	informatica-Vol_1,_No_2_1977/00000000.jpg	86	informatica
informatica-Vol_1,_No_3_1977.pdf	informatica-Vol_1,_No_3_1977/00000000.jpg	68	informatica
informatica-Vol_1,_No_4_1977.pdf	informatica-Vol_1,_No_4_1977/00000000.jpg	85	informatica
informatica-Vol_10,_No_1_1986.pdf	informatica-Vol_10,_No_1_1986/00000000.jpg	88	informatica
informatica-Vol_10,_No_2_1986.pdf	informatica-Vol_10,_No_2_1986/00000000.jpg	90	informatica
informatica-Vol_10,_No_3_1986.pdf	informatica-Vol_10,_No_3_1986/00000000.jpg	82	informatica
informatica-Vol_10,_No_4_1986.pdf	informatica-Vol_10,_No_4_1986/00000000.jpg	102	informatica
informatica-Vol_11,_No_1_1987.pdf	informatica-Vol_11,_No_1_1987/00000000.jpg	97	informatica
informatica-Vol_11,_No_2_1987.pdf	informatica-Vol_11,_No_2_1987/00000000.jpg	91	informatica
informatica-Vol_11,_No_3_1987.pdf	informatica-Vol_11,_No_3_1987/00000000.jpg	83	informatica
informatica-Vol_11,_No_4_1987.pdf	informatica-Vol_11,_No_4_1987/00000000.jpg	90	informatica
informatica-Vol_12,_No_1_1988.pdf	informatica-Vol_12,_No_1_1988/00000000.jpg	95	informatica
informatica-Vol_12,_No_2_1988.pdf	informatica-Vol_12,_No_2_1988/00000000.jpg	118	informatica
informatica-Vol_12,_No_3_1988.pdf	informatica-Vol_12,_No_3_1988/00000000.jpg	86	informatica
informatica-Vol_12,_No_4_1988.pdf	informatica-Vol_12,_No_4_1988/00000000.jpg	82	informatica
informatica-Vol_13,_No_1_1989.pdf	informatica-Vol_13,_No_1_1989/00000000.jpg	92	informatica
informatica-Vol_13,_No_2_1989.pdf	informatica-Vol_13,_No_2_1989/00000000.jpg	88	informatica
informatica-Vol_13,_No_3_1989.pdf	informatica-Vol_13,_No_3_1989/00000000.jpg	92	informatica
informatica-Vol_13,_No_4_1989.pdf	informatica-Vol_13,_No_4_1989/00000000.jpg	102	informatica
informatica-Vol_14,_No_1_1990.pdf	informatica-Vol_14,_No_1_1990/00000000.jpg	110	informatica
informatica-Vol_14,_No_2_1990.pdf	informatica-Vol_14,_No_2_1990/00000000.jpg	78	informatica
informatica-Vol_14,_No_3_1990.pdf	informatica-Vol_14,_No_3_1990/00000000.jpg	100	informatica
informatica-Vol_14,_No_4_1990.pdf	informatica-Vol_14,_No_4_1990/00000000.jpg	103	informatica
informatica-Vol_15,_No_1_1991.pdf	informatica-Vol_15,_No_1_1991/00000000.jpg	96	informatica
informatica-Vol_15,_No_2_1991.pdf	informatica-Vol_15,_No_2_1991/00000000.jpg	88	informatica
