pdf	cover	pages	dir
MG-1993-08.pdf	MG-1993-08/00000000.jpg	8	Megazin
MG-1993-09.pdf	MG-1993-09/00000000.jpg	52	Megazin
MG-1993-10.pdf	MG-1993-10/00000000.jpg	58	Megazin
MG-1993-11.pdf	MG-1993-11/00000000.jpg	52	Megazin
MG-1993-12.pdf	MG-1993-12/00000000.jpg	60	Megazin
MG-1994-01.pdf	MG-1994-01/00000000.jpg	60	Megazin
MG-1994-02.pdf	MG-1994-02/00000000.jpg	60	Megazin
MG-1994-03.pdf	MG-1994-03/00000000.jpg	60	Megazin
MG-1994-04.pdf	MG-1994-04/00000000.jpg	60	Megazin
MG-1994-05.pdf	MG-1994-05/00000000.jpg	52	Megazin
MG-1994-06.pdf	MG-1994-06/00000000.jpg	60	Megazin
MG-1994-08.pdf	MG-1994-08/00000000.jpg	36	Megazin
MG-1994-09.pdf	MG-1994-09/00000000.jpg	44	Megazin
MG-1994-10.pdf	MG-1994-10/00000000.jpg	44	Megazin
MG-1994-11.pdf	MG-1994-11/00000000.jpg	51	Megazin
MG-1994-12.pdf	MG-1994-12/00000000.jpg	52	Megazin
MG-1995-01.pdf	MG-1995-01/00000000.jpg	48	Megazin
MG-1995-02.pdf	MG-1995-02/00000000.jpg	48	Megazin
MG-1995-03.pdf	MG-1995-03/00000000.jpg	60	Megazin
MG-1995-04.pdf	MG-1995-04/00000000.jpg	60	Megazin
MG-1995-05.pdf	MG-1995-05/00000000.jpg	60	Megazin
MG-1995-06.pdf	MG-1995-06/00000000.jpg	60	Megazin
MG-1995-08.pdf	MG-1995-08/00000000.jpg	60	Megazin
