pdf	cover	pages	dir
05042023_011.pdf	05042023_011/00000000.jpg	90	ZIT
ZIT-1-1955-1.pdf	ZIT-1-1955-1/00000000.jpg	32	ZIT
ZIT-1-1956-1.pdf	ZIT-1-1956-1/00000000.jpg	24	ZIT
ZIT-1-1959-01.pdf	ZIT-1-1959-01/00000000.jpg	24	ZIT
ZIT-10-1955-5.pdf	ZIT-10-1955-5/00000000.jpg	24	ZIT
ZIT-10-1959-05.pdf	ZIT-10-1959-05/00000000.jpg	56	ZIT
ZIT-11-1955-6.pdf	ZIT-11-1955-6/00000000.jpg	32	ZIT
ZIT-11-1956-6.pdf	ZIT-11-1956-6/00000000.jpg	32	ZIT
ZIT-12-1956-6.pdf	ZIT-12-1956-6/00000000.jpg	24	ZIT
ZIT-12-1959-06.pdf	ZIT-12-1959-06/00000000.jpg	56	ZIT
ZIT-13-1955-7.pdf	ZIT-13-1955-7/00000000.jpg	24	ZIT
ZIT-13-1956-6.pdf	ZIT-13-1956-6/00000000.jpg	24	ZIT
ZIT-14-1955-8.pdf	ZIT-14-1955-8/00000000.jpg	32	ZIT
ZIT-14-1956-7.pdf	ZIT-14-1956-7/00000000.jpg	32	ZIT
ZIT-14-1959-07.pdf	ZIT-14-1959-07/00000000.jpg	56	ZIT
ZIT-16-1955-8.pdf	ZIT-16-1955-8/00000000.jpg	24	ZIT
ZIT-16-1956-8.pdf	ZIT-16-1956-8/00000000.jpg	24	ZIT
ZIT-17-1955-9.pdf	ZIT-17-1955-9/00000000.jpg	24	ZIT
ZIT-17-1956-8.pdf	ZIT-17-1956-8/00000000.jpg	24	ZIT
ZIT-17-1959-09.pdf	ZIT-17-1959-09/00000000.jpg	56	ZIT
ZIT-18-1955-9.pdf	ZIT-18-1955-9/00000000.jpg	24	ZIT
ZIT-18-1956-9.pdf	ZIT-18-1956-9/00000000.jpg	24	ZIT
ZIT-19-1955-10.pdf	ZIT-19-1955-10/00000000.jpg	24	ZIT
ZIT-19-1956-9.pdf	ZIT-19-1956-9/00000000.jpg	24	ZIT
ZIT-19-1959-10.pdf	ZIT-19-1959-10/00000000.jpg	24	ZIT
ZIT-19-1962-11.pdf	ZIT-19-1962-11/00000000.jpg	48	ZIT
ZIT-1952-01.pdf	ZIT-1952-01/00000000.jpg	36	ZIT
ZIT-1952-02.pdf	ZIT-1952-02/00000000.jpg	40	ZIT
ZIT-1952-03.pdf	ZIT-1952-03/00000000.jpg	36	ZIT
ZIT-1952-04.pdf	ZIT-1952-04/00000000.jpg	36	ZIT
ZIT-1952-05.pdf	ZIT-1952-05/00000000.jpg	36	ZIT
ZIT-1952-06.pdf	ZIT-1952-06/00000000.jpg	38	ZIT
ZIT-1952-07.pdf	ZIT-1952-07/00000000.jpg	52	ZIT
