LETO,KRAJ,PROIZVAJALEC,MODEL,OPOMBE,KOLICINA,TIP,LASTNIŠTVO,PODJETJE,VIRI
1946,Kranj,POWERS-SAMAS,POWERS-SAMAS London,,1,mg,lasten,Iskra Kranj,"57/01, 60/02, 65/01, 66/04"
1952,Ljubljana,IBM,IBM neznan,400/600?,1,mg,lasten,Zavod za statistiko Ljubljana + RS Notranje zadeve Ljubljana,STAT/01
1955,Ljubljana,IBM,IBM neznan,,1,mg,lasten,Narodna banka FLRJ Republiški center Ljubljana,"61/07, FLRJ/01"
1955,Ljubljana,neznan,neznan,,1,mg,lasten,Komunalna banka Ljubljana,FLRJ/01
1955,Maribor,IBM,IBM 602-A,vojaška tajnost,1,mg,najet,TAM Maribor,"PKZ/02, 57/01, 67/10, 70/01, 84/39"
1955,Ljubljana,IBM,IBM neznan,,1,mg,lasten,Litostroj Ljubljana,"57/01, 65/06, 67/10, 70/01"
1956,Kranj,POWERS-SAMAS,POWERS-SAMAS London,novejši model,1,mg,lasten,Iskra Kranj,66/04
1957,Jesenice,IBM,IBM 602-A,po sliki,1,mg,lasten,Železarna Jesenice,"57/01, 60/02"
1958,Škofja Loka,POWERS-SAMAS,POWERS-SAMAS London,,1,mg,lasten,LTH Škofja Loka,LTH/01
1958,Ljubljana,ADC,ADC M-1,ruski analogni elektronski,1,ae,lasten,Nuklearni inštitut Jožef Stefan,"58/01, 59/02, 59/03"
1959,Ljubljana,IBM,IBM neznan,,1,mg,skupen,Rog Ljubljana + Titan Kamnik + Dom Ljubljana,"61/05, 72/04, 75/03"
1958,Ljubljana,neznan,neznan,,1,mg,PREVERI,Metalka Ljubljana,"69/11, 69/29"
1960,Beograd,IBM,IBM 705,,1,e,lasten,Zvezni zavod za statistiko Beograd,"60/04, 60/05, 60/06, 61/04, 61/07, 66/08"
1960,Beograd,CER,CER 10,,1,e,lasten,IBK Vinča + Inštitut Mihajlo Pupin Beograd,"61/04, 67/08, IDPR/01"
1960,Kranj,SPERRY Rand,SPERRY Rand UNIVAC 60/120,,1,mg,lasten,Iskra Kranj,"57/01, 60/02, 65/01, 66/03, 66/04, 70/03, FRI/01"
1960,Jesenice,IBM,IBM neznan,dodaten nakup,1,mg,lasten,Železarna Jesenice,"67/10, 66/08*"
1960,Ljubljana,Aritma,Aritma MEDA 41-C,,1,ae,lasten,FE Fakulteta za elektrotehniko Oddelek za šibki tok,"UNI/01, FRI/01"
1961,Ljubljana,neznan,neznan,,1,mg,PREVERI,RTV Ljubljana,"61/02, 65/07, 69/29"
