vrsta	proizvajalec	program	verzija	leto	stanje	OS	medij	avtor
programska oprema	borland	sidekick	2.0	1991	rabljeno	dos	3" & 5" floppy	
programska oprema	borland	quattro pro	5.0 workgroup edition	1993	rabljeno	windows 3.0	3" floppy	
igra	Ocean	Jurassic Park		1992	rabljeno	amiga	3" floppy	
operacijski sistem	microsoft	windows 	3.1	1991	dell oem original		3" floppy	
operacijski sistem	microsoft	windows 	3.1	1991	dell oem		3" floppy	
operacijski sistem	microsoft	ms-dos	6.1	1991	dell oem		3" floppy	
programska oprema	empire arcade	volfie V		1991	rabljeno	amiga	3" floppy	
programska oprema	apple	macintosh stylewriter II			rabljeno	mac	3" floppy	
programska oprema	microsoft	plus!		1995	rabljeno	win	3" floppy	
programska oprema	symantec	norton utilities		1995	rabljeno		3" floppy	
programska oprema	microsoft	works	upgrade	1994	rabljeno		3" floppy	
igra	sunflowers	aufschwung ost		1993	rabljeno	amiga	3" floppy	
igra	origin systems	wing commander		1990	rabljeno	amiga	3" floppy	
igra	empire	war in the gulf		1993	rabljeno	amiga	3" floppy	
igra	softprice	terminator 2 judgment day		1991	rabljeno	amiga	3" floppy	
igra	beck software im dtv	neusten windows spiele		1993	rabljeno	win	3" floppy	
operacijski sistem	microsoft	windows for workgroups	3.1	1992	rabljeno	dos	3" floppy	
operacijski sistem	microsoft	ms-dos	6	1993	rabljeno		3" floppy	
operacijski sistem	ibm	os/2	2.0	1992	rabljeno		3" floppy	
operacijski sistem	microsoft	everex ms-dos	5.0	1991	rabljeno		3" floppy	
programska oprema	borland	quattro pro	4.0	1992	rabljeno	dos	3" floppy	
programska oprema	apple	macintosh utilities		1991	rabljeno	mac	3" floppy	
programska oprema	aldus	pagemaker	5.0	1992	rabljeno	mac	3" floppy	
programska oprema	microsoft	visual basic	2.0	1992	rabljeno	win	3" floppy	
programska oprema	borland	paradox	4.5	1993	rabljeno	win	3" floppy	
programska oprema	microsoft	excel	4.0	1992	rabljeno	win	3" floppy	
programska oprema	corel	ventura	5		rabljeno	win	3" floppy	
programska oprema	computer associates	superproject	3.0	1992	rabljeno	win	3" floppy	
programska oprema	novell	quattro pro	6.0	1994	rabljeno	win	3" floppy	
programska oprema	wordperfect	wordperfect for windows	5.2	1992	rabljeno	win 3	3" floppy	
programska oprema	wordperfect	office for pc lans			original demonstrational copy	win 3	3" floppy	
programska oprema	borland	paradox	for windows	1992	rabljeno	win 3.1	3" floppy	
programska oprema	microsoft	office	slovenski 7.0 standard	1995	rabljeno	win 95	3" floppy	
programska oprema	symantec	norton commander		1996	rabljeno	win 95	3" floppy	
programska oprema	starfish software	dashboard 95	2	1995	rabljeno	win 95	3" floppy	
programska oprema	symantec	norton uninstall deluxe	1	1997	rabljeno	win 95	3" floppy	
programska oprema	delrina	winfax pro	7.0	1995	rabljeno	win 95	3" floppy	
programska oprema	data fellows	f-secure		1996	rabljeno	win, unix	3" floppy	
programska oprema	data fellows	f-prot professional		1995	rabljeno	win, unix	3" floppy	
programska oprema	microsoft	word for windows	2	1990	brey ovitka	windows	3" floppy	
programska oprema	borland	paradox		1992	rabljeno	windows	3" floppy	
programska oprema	quarterdeck	cleansweep 95		1995	rabljeno	win	3" floppy	
operacijski sistem	ibm	dos 	3.3	1987	rabljeno		5" floppy	
programska oprema	audio light	koala painter		1983	original	commodore 64	5" floppy	
operacijski sistem	microsoft	windows	3	1990	rabljeno	dos	5" floppy	
operacijski sistem	microsoft	ms-dos	3.3	1987	rabljeno hyundai oem		5" floppy	
programska oprema	microsoft	word	5.5	1990	rabljeno	dos	5" floppy	
programska oprema	wordperfect	drawperfect		1990	original demonstrational copy	dos	5" floppy	
programska oprema	wordperfect	works for dos		1992	rabljeno	dos	5" floppy	
programska oprema	ibm	pc jr sampler		1983	original	pc jr	5" floppy	
programska oprema	borland	quattro pro	1.0	1993	rabljeno	win	5" floppy	
programska oprema	borland	paradox	3.0	1992	rabljeno	win, dos	5" floppy	
programska oprema	borland	quattro pro		1992	rabljeno		5" floppy	
programska oprema	radio shack	trs-80 learning lab		1983	rabljeno	trs-80	8 kaset	
programska oprema	fox software	foxbase Mac	2.01		rabljeno	Macintosh II SE or Plus	800k floppy	
programska oprema	microsoft	ibm basic	1	1983	original	pc jr	cartridge	
igra	infocom	return to zork			rabljeno	dos	cd	
