eksponat,leto,1,2,3,4,5,6,7,8,9,10,11,12
PC & mediji CD,1995,,,,,,,,,,,prvi,x
PC & mediji CD,1996,x,x,x,x,x,ISO,ISO,x,x,x,x,x
PC & mediji CD,1997,x,x,x,x,ISO,x,x,x,x,ISO,x,ISO
PC & mediji CD,1998,x,x,x,x,x,x,x,x,ISO,x,x,x
PC & mediji CD,1999,x,x,x,x,ISO,x,x,x,x,ISO,x,x
PC & mediji CD,2000,x,x,x,x,x,x,x,x,x,x,x,x
PC & mediji CD,2001,x,x,x,x,x,x,x,x,x,x,x,x
PC & mediji CD,2002,x,x,x,x,x,x,x,zadnji,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Joker Tlačenka,2004,,,,,,,x,,,,,
Joker Tlačenka,2005,,,,,x,,,,,,,
,,,,,,,,,,,,,
ESC CD,2003,,,,,x,,,,,,,
,,,,,,,,,,,,,
Mojmikro DVD,2007,,,,,x,,,,,,,
Mojmikro DVD,2008,,,,,x,,,,,,,
Mojmikro CD,2003,,,,,,,x,,x,,,
Mojmikro CD,2004,,,,x,,,,,,,,
,,,,,,,,,,,,,
Monitor dvd,2007,,,,x,,,,,,,x,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Joker Tlačenka,"104, 117, 72, 84",,,,,,,,,,,,
Joker Natlačenka,2010,,x,x,,,,,,,,,
