vrsta,proizvajalec,program,verzija,leto,stanje,OS,medij,avtor,popisovalec
Računalniška igra,South Peak Interactive,The Dukes of Hazzard,,1998,,gbc,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario Bros. Deluxe,,1998,,gbc,ROM cart,,marko
Računalniška igra,Nintendo,The Legend of Zelda: Oracle of Seasons,,,,gbc,ROM cart,,marko
Računalniška igra,Capcom,Star Wars,,,,gb,ROM cart,,marko
Računalniška igra,Tecmo,Ninja Gaiden Shadow,,,,gb,ROM cart,,marko
Računalniška igra,Mindscape Inc.,Paperboy,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Wario Blast,,,,gb,ROM cart,,marko
Računalniška igra,"T HQ, Inc.",Bo Jackson Two Games in One,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Wario Land: Super Mario Land 3,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Solar Striker,,,,gb,ROM cart,,marko
Računalniška igra,Acclaim,Mortal Kombat II,,,,gb,ROM cart,,marko
Računalniška igra,Namco,Dig Dug,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,The Legend of Zelda: Link's Awakening,,,,gb,ROM cart,,marko
Računalniška igra,Tecmo,Tecmo Bowl,,1991,,gb,ROM cart,,marko
Računalniška igra,Atlus,Cosmo Tank,,,,gb,ROM cart,,marko
Računalniška igra,Konami,The Castlevania Adventure,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Wave Race,,,,gb,ROM cart,,marko
Računalniška igra,Acclaim,Krusty's Fun House,,1992,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Wario Land II,,,,gb,ROM cart,,marko
Računalniška igra,Acclaim,Mortal Kombat,,,,gb,ROM cart,,marko
Računalniška igra,Irem Software,R-Type DX,,1999,,gb,ROM cart,,marko
Računalniška igra,Konami,Castlevania II,,,,gb,ROM cart,,marko
Računalniška igra,Malibu Games,Total Carnage,,,,gb,ROM cart,,marko
Računalniška igra,,Super Star Wars: Return of the Jedi,,,,gb,ROM cart,,marko
Računalniška igra,LJN,T2 The Arcade Game,,,,gb,ROM cart,,marko
Računalniška igra,Acclaim,Turok,,,,gb,ROM cart,,marko
Računalniška igra,Konami,Castlevania Legends,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Bomberman GB,,,,gb,ROM cart,,marko
Računalniška igra,KOEI,Stop That Roach,,,,gb,ROM cart,,marko
Računalniška igra,"T HQ, Inc.",Pit-Fighter,,,,gb,ROM cart,,marko
Računalniška igra,Sun Soft,Batman,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Donkey Kong,,,,gb,ROM cart,,marko
Računalniška igra,Kemco Seika,Snoopy's Magic Show,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Super R.C. PRO AM,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Baseball,,,,gb,ROM cart,,marko
Računalniška igra,Meldac,Heianky Alien,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Arcade Classic 2: Centipede + Millipede,,,,gb,ROM cart,,marko
Računalniška igra,Capcom,Mega Man III,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Metroid II,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Qix,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Alleyway,,,,gb,ROM cart,,marko
Računalniška igra,Capcom,Star Wars: The Empire Strikes Back,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Mega Man,,,,gb,ROM cart,,marko
Računalniška igra,Activision,Alien vs. Predator,,,,gb,ROM cart,,marko
Računalniška igra,Acclaim,Double Dragon II,,,,gb,ROM cart,,marko
Računalniška igra,Ultra Games,Operation C,,,,gb,ROM cart,,marko
Računalniška igra,Ocean,Lemmings,,,,gb,ROM cart,,marko
Računalniška igra,Tradewest,Double Dragon,,,,gb,ROM cart,,marko
Računalniška igra,Nintendo,Tetris 2,,,,gb,ROM cart,,marko
Računalniška igra,Midway,Marble Madness,,,,gbc,ROM cart,,marko
Računalniška igra,Nintendo,Mario Clash,,,,vb,ROM cart,,marko
Računalniška igra,Nintendo,3D Tetris,,,,vb,ROM cart,,marko
