vrsta,proizvajalec,program,verzija,leto,stanje,OS,medij,avtor,popisovalec
Računalniška igra,Digital Pictures,Supreme Warrior,,1994,rabljeno,Sega CD 32X,CD,,Matej
Računalniška igra,Digital Pictures,Corpse Killer,,1994,rabljeno,Sega CD 32X,CD,,Matej
Računalniška igra,LucasArts,Star Wars Arcade,,1994,rabljeno,Sega 32X,ROM cart,,Matej
Računalniška igra,Sega,Virtua Racing Deluxe,,1994,rabljeno,Sega 32X,ROM cart,,Matej
Računalniška igra,Electronic Arts,Toughman Contest,,1995,rabljeno,Sega 32X,ROM cart,,Matej
Računalniška igra,Tiertex,Supercross 3D,,1995,novo,Atari Jaguar,ROM cart,,Matej
Računalniška igra,id Software,Doom,,1994,rabljeno,Sega 32X,ROM cart,,Matej
Računalniška igra,Core Design,BC Racers,,1995,rabljeno,Sega 32X,ROM cart,,Matej
Računalniška igra,Sega,Virtua Fighter,,1995,rabljeno,Sega 32X,ROM cart,,Matej
Računalniška igra,Sega,Marksman Shooting & Trap Shooting,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Gangster Town,,1987,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,After Burner,,1988,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Tonka,Wonder Boy in Monster Land,,1988,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,World Grand Prix: The Mega Cartridge,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Golden Axe,,1989,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,SpellCaster,,1989,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Great Baseball: The Mega Cartridge,,1987,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Rambo: First Blood Part II: The Mega Cartridge,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Great Ice Hockey: The Mega Cartridge,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Parker Brothers,Montezuma's Revenge,,1989,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Activision,Ghostbusters: The Mega Cartridge,,1987,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Great Golf,,1987,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Tonka,Thunder Blade,,1988,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Parker Brothers,Where in the World is Carmen Sandiego?,,1988,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Monopoly: The Mega-Plus Cartridge,,1988,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Sonic the Hedgehog 2,,1992,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Sports Talk Baseball,,1992,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,NFL Football '94,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Acclaim Entertainment,Batman Forever,,1995,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,World Series Baseball,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Acclaim Entertainment,Mortal Kombat II,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Acclaim Entertainment,Mortal Kombat,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Super Hang On,,1989,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Decapattack,,1991,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Altered Beast,,1989,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,"James ""Buster"" Douglas Knockout Boxing",,1990,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Spider-Man,,1991,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Sonic the Hedgehog,,1991,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Joe Montana Football,,1990,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,After Burner II,,1990,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Capcom,Street Fighter II: Special Champion Edition,,1993,rabljeno,Sega Genesis,Samo škatla in navodila brez cartridga,,Matej
Računalniška igra,Electronic Arts,Mario Andretti Racing,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Mindscape,Cal Ripken Jr. Baseball,,1992,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Chakan,,1992,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Batman Returns,,1992,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Tradewest,Pro Quarterback,,1992,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Taz-Mania,,1992,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Virgin,Cool Spot,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Pro Wrestling: The Mega Cartridge,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Black Belt,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Great Football,,1987,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Choplifter: The Mega Cartridge,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Captain Silver,,1989,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Double Dragon,,1988,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Electronic Arts,Toughman Contest,,1995,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Electronic Arts,College Football USA 96,,1995,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Hang On & Safari Hunt: The Combo Cartridge,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Out Run,,1987,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Action Fighter,,1986,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Sega,Global Defense,,1988,rabljeno,Sega Master System,ROM cart,,Matej
Računalniška igra,Electronic Arts,Bill Walsh College Football,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,ToeJam & Earl in Panic on Funkotron,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Activision,Pitfall: The Mayan Adventure,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Tengen,Awesome Possum Kicks Dr. Machino's Butt,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Ecco: The TIdes of Time,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Virgin,Aladdin,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,GameTek,Brutal Paws of Fury,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Midway,NBA Jam,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,The Ren & Stimpy Show: Stimpy's Invention,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sony,Mickey Mania: The Timeless Adventures of Mickey Mouse,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Williams Entertainment,Mortal Kombat 3,,1995,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Absolute Entertainment,Goofy's Hysterical History Tour,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Sonic Spinball,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Sonic the Hedgehog 3,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Core Design,Bubba 'N' Stix,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
