Inv. št.,Eksponat,Serijska številka,Leto proizvodnje,Stanje,Lokacija,"Polica, regal"
50095,Programska oprema,Microsoft Office 97 Professional Edition SR-1 ,1996,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/1998-01 - 18 - Office 97 Professional Edition SR-1 [Slovenian, Greek]"
50096,Operacijski sistem,Microsoft Windows 98,1998,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/1999-01 - 79 - Windows 98 [Greek] [Slovak] [Slovenia] [Turkish]
50097,Operacijski sistem,Microsoft Windows 98,1998,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/1999-04 - 09 - Windows 98 [Greek, Slovak, Slovenian, Turkish]"
50098,Operacijski sistem,Microsoft Windows NT 4.0 Option Pack,1998,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/1999-04 - 31 - Windows NT 4.0 Option Pack [Slovenian, Turkish]"
50099,Operacijski sistem,Microsoft Windows 98,1998,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/1999-10 - 09 - Windows 98 [Slovak, Slovenian, Turkish]"
50100,Programska oprema,Microsoft Internet Explorer,1999,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/1999-10 - 37 - Microsoft Internet Explorer Versions [Slovak, Slovenian, Swedish, Turkish]"
50101,Operacijski sistem,Microsoft Windows 98,1998,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/1999-11 - 09 - Windows 98 Versions [Greek, Slovak, Slovenian]"
50102,Operacijski sistem,Microsoft Windows NT 4.0 Option Pack,1998,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/2000-01 - 63 - Windows NT 4.0 Option Pack [Slovenian, Turkish]"
50103,Programska oprema,"Microsoft Internet Explorer, Windows 98, Windows Me",2000,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/2000-12 - 29 - Microsoft Internet Explorer Versions, Windows 98 Versions, Windows Me [Slovenian]"
50104,Programska oprema,"Microsoft Internet Explorer, Windows 98, Windows Me",2000,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/2001-01 - 0104.0 - Internet Explorer Versions, Windows 98 Versions, Windows Me [Slovenian]"
50105,Operacijski sistem,"Microsoft Windows 98 SE, Windows ME",2000,Slovenski,Spletni streznik,"/home/marko/slo-stuff/betaarchive.com/2003-10 - 0104.1 - Windows 98 SE, Windows ME [Slovenian]"
50106,Programska oprema,Microsoft Internet Explorer 3.02 (4.70.1215),1996,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Internet Explorer 3.02 (4.70.1215) [Slovenian]
50107,Programska oprema,Microsoft Internet Explorer 4.01 (4.72.3612.1707),1997,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Internet Explorer 4.01 (4.72.3612.1707) [Slovenian]
50108,Programska oprema,Microsoft Internet Explorer 5.01 (5.0.2919.6307),1999,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Internet Explorer 5.01 (5.0.2919.6307) [Slovenian]
50109,Programska oprema,Microsoft Office 2003 Basic Edition (11.0.5510.0),2003,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Office 2003 Basic Edition (11.0.5510.0) [Slovenian]
50110,Programska oprema,Microsoft Office 95 Standard (7.00.1911) (3.5''),1995,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Office 95 Standard (7.00.1911) [Slovenian] (3.5'')
50111,Programska oprema,Microsoft Office 95 Standard (7.00.1911) (CD),1995,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Office 95 Standard (7.00.1911) [Slovenian] (CD)
50112,Programska oprema,Microsoft Office 97 Professional (8.00.3512),1996,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Office 97 Professional (8.00.3512) [Slovenian]
50113,Programska oprema,Microsoft Office 97 Standard (8.00.3512) (3.5'') [Upgrade],1996,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Office 97 Standard (8.00.3512) [Slovenian] (3.5'') [Upgrade]
50114,Programska oprema,Microsoft Office 97 Standard (8.00.3512) (CD) [Upgrade],1996,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Office 97 Standard (8.00.3512) [Slovenian] (CD) [Upgrade]
50115,Programska oprema,Microsoft Office XP Professional (10.0.2627.0),2001,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Office XP Professional (10.0.2627.0) [Slovenian]
50116,Operacijski sistem,Microsoft Windows 95 (4.00.950) (1995-10-02) (CD) [Upgrade],1995,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Windows 95 (4.00.950) (1995-10-02) [Slovenian] (CD) [Upgrade]
50117,Operacijski sistem,Microsoft Windows 95 (4.00.950) [OEM],1995,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Windows 95 (4.00.950) [Slovenian] [OEM]
50118,Operacijski sistem,Microsoft Windows 95B (4.00.1111) (OSR2) [OEM],1996,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Windows 95B (4.00.1111) (OSR2) [Slovenian] [OEM]
50119,Operacijski sistem,Microsoft Windows 95B (4.00.1111) (OSR2.1) [OEM],1996,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Windows 95B (4.00.1111) (OSR2.1) [Slovenian] [OEM]
50120,Programska oprema,Microsoft Windows Media Player 6.4 (6.4.07.1112),1999,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Windows Media Player 6.4 (6.4.07.1112) [Slovenian]
50121,Programska oprema,Microsoft Windows Media Player 7.1 (6.4.09.1117),2001,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Windows Media Player 7.1 (6.4.09.1117) [Slovenian]
50122,Programska oprema,Microsoft Word 6.0a (3.5''),1993,Slovenski,Spletni streznik,/home/marko/slo-stuff/betaarchive.com/Microsoft Word 6.0a [Slovenian] (3.5'')
