ŠIFRA,VRSTA,ČLANEK,VSEBINA,LINK
62/01,Domača izdelava,"Iskra (1962, letnik 1, številka 6)",">>Sejem tehnike v Beogradu
'Zlasti je vzbujal zanimanje elektronski računalnik Zuse Z23, o katerem pišemo podrobneje in ga bomo v kooperaciji s tujo firmo izdelovali v Iskri.'
>>Elektronski računalnik ZUSE Z-23
'V zadnjem desetletju so se po svetu zelo razmnožili elektronski računalniki. V naprednih državah jih uporabljajo ne samo v znanstveno raziskovalne namene ampak tudi v industriji za optimizacijo proizvodnega procesa.''Tudi v naši državi že marsikje uporabljamo elektronske računalnike. Po približni oceni v Sloveniji vsaj v 30 tovarnah. Nekaj naših institucij ima na posodo tuje elektronske računalnike, za katere plačujejo najemnino.'V 30ih TOVARNAH ELEKTRONSKI RAČUNALNIKI??? PONOVLJEN NEPRAVILEN PODATEK IZ SZTR/01 DO JUNIJA 1960 JE BIL EDINI ELEKTRONSKI IBM705 V BEOGRADU! IN V LETU 1961 NAJ BI BILO ŠELE 25 RAČUNSKIH STROJEV V CELOTNI JUGOSLAVIJI.
'Razvijanje takega elektronskega računalnika na lastno roko bi bila predraga in preveč zamudna stvar, zato je Iskra sklenila pogodbo o sodelovanju s podjetjem Zuse. Izdelovali naj bi 30% delov v zameno pa dobili ekvivalentno vrednost kompletnih računalnikov Z-23.'
'Računalnik deluje po na slednjem načelu: V teleprinter zapišemo celotno računsko nalogo. Poseben mehanizem prepiše to nalogo v jeziku računalnika na preluknjan trak ali kartico, od koder se podatki v oblaki električnih impulzov prenašajo na magnetni boben. Boben je dejansko ogromen spomin stroja, ki zabeleži celotno nalogo z vsemi variantami. Računalnik nato sam kliče in izvršuje posamezne operacije v logičnem zaporedju. Ko nazadnje pride ukaz iz bobna — spomina, stroj avtomatično vtisne rezultate na pisalni stroj. Med računanjem opazujemo potek na komandni mizi, ki signalizira morebitne napake. Hkrati mu lahko postavimo nalogo z 80 neznankami.'
'Ima 2.300 tranzistorejv in 6.700 diod in je torej docela tranzistoriziran. Njegov spomin obsega 90.112 decimalk. Prednost stroja nasproti drugim računalnikom so velike — na primer zavzema občutno manjši prostor, deluje ob majhni potrošnji električne energije (3-fazni tok — celotna poraba 2 KW) in ne potrebuje posebnih hladilnih naprav.'",http://www.dlib.si/stream/URN:NBN:SI:DOC-S7QNS1PQ/e6ba9838-3d94-4d6f-8e23-dfd6355fe6f4/PDF
63/04,Domača izdelava,"Delo (18.10.1963, letnik 5, številka 286)",">>Napredek domače elektronske industrije.. v ospredju avtomatizacija in merilna tehnika
'Najzanimivejša novost Iskre morda prototip elektronske avtomatske telefonske centrale. Za vzpostavljanje ne potrebuje več relejev, temveč uporablja polprevodniške diode in tranzistorje, ki delujejo popolnoma neslišno.'
'Predstavljajo tudi serijo elektronskih in digitalnih inštrumentov.'
'Poleg Iskre še dve podjetji, ki proizvajata elektronske sestavne dele EI Niš in RIZ Zagreb.'
'Zuse spet razstavlja Z-23 z Graphomatom, ki riše krivulje. Siemens pa razstavlja elektronske sestavne dele s katerimi že zalaga nekatera domača podjetja.'",https://www.dlib.si/listalnik/URN_NBN_SI_doc-RAUH9MXA/6/index.html
64/01,Domača izdelava,"Iskra (1964, letnik 3, številka 25)
in Delo (21.05.1964, letnik 5, številka 137)",">>Te dni dokončali izdelavo prvega domačega elektronskega računalnika
'Računalnik je izdelal oddelek za digitalno tehniko pod vodstvom Željka Cenerja in je rezultat več kot enoletnih raziskav. Izračuna operacije z 84 neznankami. V Iskri bi lahko samostojno in neodvisno izdelali računalnik, vendar s tem še ne bi bil primeren za praktično uporabo. Pri nas ne bi bilo racionalno organizirati skupino matematikov in programerjev, ki jih ni v zadostnem številu, da bi v sprejemljivem časovnem in finančnem okvirju postavili programsko osnovo računalnika. Odpade pa tudi precej dolgotrajnega preizkušanja in predelovanja. Licenčni računalnik Z-23 bo mogoče takoj praktično uporabljati, proizvodnja pa se bo začela že v nekaj dneh. Do konca leta naj bi bila izdelana prva serija.'","http://www.dlib.si/stream/URN:NBN:SI:DOC-TXX9ZETL/2e46c999-93c9-4d01-aa8b-2a6a159f4898/PDF
http://www.dlib.si/listalnik/URN_NBN_SI_doc-ZOFCUZUR/2/index.html "
64/04,Domača izdelava,"Delo (09.07.1964, letnik 5, številka 185)
in Panorama (18.07.1964, številka 28)
in Celjski tednik: glasilo SZDL (07.08.1964, letnik 17, številka 31)",">>Domači elektronski računalnik Iskra Z-23
'Pred kratkim v iskrinem Zavodu za avtomatizacijo na oddelku za digitalno tehniko pod vodstvom Milana Baumgartnerja izdelali in montirali računalnik Z-23. Računalnik ima 2700 tranzistorjec in 6000 diod. Računalnik bodo lahko uporabuili različni interesenti od industrije do znanstvenih ustanov, inštitutov in statističnega urada. Za boljše izkoriščanje bui lahko ponekod organizirali centre, kjer bi interesenti skupaj uporabljali en računalnik. Iskra je že organizirala več tečajev za specializirane tehnike in programerje, ki bodo z računalniki operirali.'
'Čeprav je novi računalnik licenčna konstrukcija ima vdelanih že 80& sestavnih delov iskrine lastne proizvodnje, v kratkem pa bodo pričeli vedelovati še domače tranzistorje in didoe iz nove tovarne polprevodnikov, ki se gradi v Trbovljah.'","https://www.dlib.si/listalnik/URN_NBN_SI_doc-FMHJ4KVD/2/index.html
https://www.dlib.si/stream/URN:NBN:SI:DOC-K4I9RJCY/e9bdce8f-9e79-4e3c-8527-771a7887a82f/PDF
https://www.dlib.si/stream/URN:NBN:SI:DOC-IA447N04/a268f893-9140-4b65-93f5-d7938d049923/PDF"
64/05,Domača izdelava,"Tovariš (1964, letnik 20, številka 17)",">>Elektronika in avtomatizacija
'Iskrin Zavod za avtomatizacijo je nameščen v prenovljenih prostorih Tobačne tovarne, v njem je zaposlenih 1100 ljudi, skoraj izključno inženirjev in tehnikov s povprečno starostjo 30 let. Na leto morajo predložiti okoli 300 tehničnih dokumentacij za potencialne nove iskrine proizvode. Avtomatizacija temelji na mešanici mnogih tehničnih in znanstvenih panog. Po eni strani neavtomatizitrana proizvodnja postaja nekonkurenčna, po drugi strani mnogih sodobnih proizvodov ni mogoče proizvesti brez kontrolitrane natačnosti avtomatiziranih procesov.'
'En računalnik je že narejen in je na zadnjem sejmu elektronike sodeloval kot robot za turistično svetovanje. Pojavila se je velika potreba po strokovnjakih, ki bodo upravljali s temi stroji.'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-U7E0655L/16/index.html
65/02,Domača izdelava,"Iskra (1965, letnik 4, številka 7)",">>Iskra Z-23 v Zagrebu
'Odprli javni računski center v zagrebškem Zavodu za napredek produktivnosti dela. Obdelujejo podatke z Iskrinim Z-23, ki so ga dobili v najem. Iskra je iste računalnike dobavila še Vojnotehničnemu inštitutu, Atomskemu centru v Vinči in IJS. V rabi pa je tudi prototip v iskrinem Centru za avtomatizacijo.'",http://www.dlib.si/stream/URN:NBN:SI:DOC-O6E0IZVF/21b70780-7460-4935-9561-8b08ca283fb6/PDF
65/03,Domača izdelava,"Iskra (1965, letnik 4, številka 11)",">>Iskra Z-23 v Splitu in zanimanje Železarne Smederovo
'Po zagrebškem računskem centru zanimanje za te računalnike kaže tudi Železarna Smederevo. Upati
je, da bo to zanimanje preraslo v dejansko naročilo. Že sklenjena pogodba med Iskro in Elektrotehniško fakulteto v Splitu za nakup računskega stroja Z-23 pa priča, da bodo tudi v Splitu, podobno kot v Zagrebu organizirali računski center, ki bo labko nudil svoje usluge podjetjem in ustanovam.'",http://www.dlib.si/stream/URN:NBN:SI:DOC-BA5BQUM4/d8ecbeef-5bbe-4d0d-91f5-9a68f8f23de3/PDF
73/36,Domača izdelava,"Delo (15.06.1973, letnik 15, številka 161)",">>Prva elektronska telefonska centrala v Mostah
'Centrala sistema Metacont 10C bo lahko priključila 4000 naročnikov",http://www.dlib.si/listalnik/URN_NBN_SI_doc-M2G5XDPP/2/index.html
74/07,Domača izdelava,"IJS Novice 1974, št.2",>>Izdelava dveh računalnikov ITT-1600 za Iskro .. za uporabo v elektronskih telefonskih centralah,https://www.ijs.si/ijsw/Arhiv%20Novic?action=AttachFile&do=get&target=Novice_1974_04_23.pdf
74/44,Domača izdelava,"Delo (22.10.1974, letnik 16, številka 247)",">>Strokovnjaki FE in Iskra izdelali nov prototip elektronske centrale
'Upravljalni del nove centrale je manjši elektronski računalnik.. prav pri tem delu nove centrale so strokovnjaki razvili največ svojih izvirnih misli'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-YL5EB2ST/4/index.html
