vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,Midway,Biofreaks,zootfly,1995,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Acclaim,South Park: Chef's Luv Shack,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Mario Party 3,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Rareware,Conker's Bad Fur Day,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Electronic Arts,NBA Live 2000,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Mario Party,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Acclaim,South Park,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,LucasArts,Star Wars: Rogue Squadron,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Midway,Mortal Kombat Trilogy,zootfly,,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Super Smash Bros.,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Rareware,Diddy Kong Racing,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,1080° Snowboarding,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Konami,Castlevania: Legacy of Darkness,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Star Wars: Shadows of the Empire,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Acclaim,Extreme-G,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,LucasArts,Star Wars: Episode I: Battle for Naboo,zootfly,2000,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Rareware,Donkey Kong 64,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Midway,Paperboy,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Namco,Ridge Racer 64,zootfly,2000,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,F-Zero X,zootfly,,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Midway,Gex 64: Enter the Gecko,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Super Mario 64,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,LucasArts,Star Wars: Episode I: Racer,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Activision,Nightmare Creatures,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Acclaim,NFL Quarterback Club 99,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,NewKidCo,Elmo's Number Journey,zootfly,,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Midway,Cruis'n Exotica,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Cruis'n USA,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Waialae Country Club,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Midway,Wayne Gretzky's 3D Hockey,zootfly,1996,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,The Legend of Zelda: Ocarina of Time,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Mario Tennis,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Yoshi's Story,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Midway,Hydro Thunder,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,The New Tetris,zootfly,,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Video System,Aerofighters Assault,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Rareware,GoldenEye 007,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Midway,Doom 64,zootfly,,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Konami,Castlevania,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Titus,Automobili Lamborghini,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Nintendo,Paper Mario,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Electronic Arts,Knockout Kings 2000,zootfly,1997,,n64,ROM cart,"D1, skatla 4",marko
Računalniška igra,Tengen,Toobin',zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,Wisdom Tree,Bible Adventures,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Puzzle,zootfly,1990,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Wally Bear and the NO! gang,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Impossible Mission II,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Krazy Kreatures,zootfly,1990,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Deathbots,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Venice Beach Volleyball,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,Tengen,Rolling Thunder,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,Tengen,Super Sprint,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,Tengen,After Burner,zootfly,1989,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,Wisdom Tree,Journey to the Promised Land: Exodus,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,Tengen,R.B.I. Baseball 3,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,Color Dreams,Operation Secret Storm,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,Wisdom Tree,King of Kings: The Early Years,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Trolls on Treasure Island,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Dudes with Attitude,zootfly,,,nes,ROM cart,"D1, skatla 4",marko
Računalniška igra,American Video Entertainment,Pyramid,zootfly,1990,,nes,ROM cart,"D1, skatla 4",marko
