vrsta,proizvajalec,program,stevilo kosov,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,ZootFly,Prison Break: The Conspiracy,20 kosov,zootfly,2009,,ps3,BluRay,"D1, skatla 8",marko
Računalniška igra,Sony,singstar Queen,2 kosa,zootfly,2009,,ps2,DVD,"D1, skatla 8",marko
Računalniška igra,Konami,Metal Gear Solid 3: Subsistence,,zootfly,2006,,ps2,DVD,"D1, skatla 8",marko
Računalniška igra,JoWooD,Yetisports Arctic Adventures,3 kosi,zootfly,2005,,xbox,DVD,"D1, skatla 8",marko
Računalniška igra,JoWooD,Ski Racing 2005,2 kosa,zootfly,2004,,xbox,DVD,"D1, skatla 8",marko
Računalniška igra,JoWooD,Future Tactics: The Uprising,,zootfly,2004,,xbox,DVD,"D1, skatla 8",marko
Računalniška igra,Microsoft,Project Gotham Racing 2,,zootfly,2004,,xbox,DVD,"D1, skatla 8",marko
Računalniška igra,Tecmo,Ninja Gaiden,,zootfly,2004,,xbox,DVD,"D1, skatla 8",marko
Računalniška igra,JoWooD,Ski Racing 2006,,zootfly,2005,,xbox,DVD,"D1, skatla 8",marko
Računalniška igra,Electronic Arts,Black,,zootfly,2006,,xbox,DVD,"D1, skatla 8",marko
Računalniška igra,THQ,MotoGP '06,,zootfly,2006,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,Microsoft,Project Gotham Racing 3,,zootfly,2005,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,ZootFly,Prison Break: The Conspiracy,2 kosa,zootfly,2009,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,2K Games,BioShock 2,,zootfly,2010,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,2K Games,NBA 2K6,,zootfly,2006,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,Eidos,Lara Croft Tomb Raider: Anniversary,,zootfly,2007,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,Sega,Condemned,,zootfly,2005,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,Eidos,Kane & Lynch: Dead Men,,zootfly,2007,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,Microsoft,Gears of War,,zootfly,2006,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,Tecmo,Dead or Alive 4,,zootfly,2005,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,Rare,Kameo: Elements of Power,,zootfly,2005,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,Rare,Perfect Dark Zero,,zootfly,2005,,xbox360,DVD,"D1, skatla 8",marko
Računalniška igra,ZootFly,Panzer Elite Action: Dunes of War,4 kosi,zootfly,2006,,pc,DVD,"D1, skatla 8",marko
Računalniška igra,JoWooD,The Lost Cases of Sherlock Holmes,,zootfly,2008,,pc,CD,"D1, skatla 8",marko
Računalniška igra,ZootFly,First Battalion,,zootfly,2006,,pc,CD,"D1, skatla 8",marko
Računalniška igra,ZootFly,Panzer Elite Action Gold Edition,,zootfly,2007,,pc,DVD,"D1, skatla 8",marko
Računalniška igra,JoWooD,Ski Racing 2006,,zootfly,2005,,pc,CD,"D1, skatla 8",marko
Računalniška igra,CDV,Codename: Panzers: Phase Two,2 kosa,zootfly,2005,,pc,DVD,"D1, skatla 8",marko
Računalniška igra,JoWooD,Painkiller Universe,2 kosa,zootfly,2008,,pc,DVD,"D1, skatla 8",marko
Računalniška igra,Halycon Media,Gish,,zootfly,2005,,pc,CD,"D1, skatla 8",marko
Računalniška igra,The Adventure Company,Agatha Christie: Death on the Nile,,zootfly,2008,,pc,CD,"D1, skatla 8",marko
Računalniška igra,Electronic Arts,Medal of Honor Pacific Assault Director's Edition,,zootfly,2004,,pc,DVD,"D1, skatla 8",marko
Računalniška igra,Electronic Arts,Need for Speed: Most Wanted Black Edition,,zootfly,2005,,pc,CD,"D1, skatla 8",marko
Računalniška igra,ZootFly,Prison Break: The Conspiracy,,zootfly,2009,,pc,DVD,"D1, skatla 8",marko
Računalniška igra,JoWooD,Soldner Secret Wars,,zootfly,2004,,pc,CD,"D1, skatla 8",marko
Računalniška igra,JoWooD,Gothic II,,zootfly,2005,,pc,CD,"D1, skatla 8",marko
Računalniška igra,arxel tribe,The Legend of the Prophet & the Assassin,,zootfly,2000,,pc,CD,"D1, skatla 8",marko
Računalniška igra,Namco,Dead to Rights: Reckoning,,zootfly,2005,,psp,UMD,"D1, skatla 8",marko
Računalniška igra,The Adventure Company,Agatha Christie: And Then There Were None,,zootfly,2007,,wii,Wii Optical Disc,"D1, skatla 8",marko
Računalniška igra,Deep Silver,Sacred 2: Fallen Angel,,zootfly,2009,,ps3,BluRay,"D1, skatla 8",marko
