vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,Digital Pictures,Supreme Warrior,zootfly,1994,rabljeno,Sega CD 32X,CD,"D1, skatla 9",Matej
Računalniška igra,Digital Pictures,Corpse Killer,zootfly,1994,rabljeno,Sega CD 32X,CD,"D1, skatla 9",Matej
Računalniška igra,LucasArts,Star Wars Arcade,zootfly,1994,rabljeno,Sega 32X,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Virtua Racing Deluxe,zootfly,1994,rabljeno,Sega 32X,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Electronic Arts,Toughman Contest,zootfly,1995,rabljeno,Sega 32X,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Tiertex,Supercross 3D,zootfly,1995,novo,Atari Jaguar,ROM cart,"D1, skatla 9",Matej
Računalniška igra,id Software,Doom,zootfly,1994,rabljeno,Sega 32X,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Core Design,BC Racers,zootfly,1995,rabljeno,Sega 32X,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Virtua Fighter,zootfly,1995,rabljeno,Sega 32X,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Marksman Shooting & Trap Shooting,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Gangster Town,zootfly,1987,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,After Burner,zootfly,1988,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Tonka,Wonder Boy in Monster Land,zootfly,1988,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,World Grand Prix: The Mega Cartridge,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Golden Axe,zootfly,1989,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,SpellCaster,zootfly,1989,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Great Baseball: The Mega Cartridge,zootfly,1987,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Rambo: First Blood Part II: The Mega Cartridge,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Great Ice Hockey: The Mega Cartridge,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Parker Brothers,Montezuma's Revenge,zootfly,1989,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Activision,Ghostbusters: The Mega Cartridge,zootfly,1987,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Great Golf,zootfly,1987,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Tonka,Thunder Blade,zootfly,1988,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Parker Brothers,Where in the World is Carmen Sandiego?,zootfly,1988,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Monopoly: The Mega-Plus Cartridge,zootfly,1988,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Sonic the Hedgehog 2,zootfly,1992,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Sports Talk Baseball,zootfly,1992,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,NFL Football '94,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Acclaim Entertainment,Batman Forever,zootfly,1995,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,World Series Baseball,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Acclaim Entertainment,Mortal Kombat II,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Acclaim Entertainment,Mortal Kombat,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Super Hang On,zootfly,1989,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Decapattack,zootfly,1991,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Altered Beast,zootfly,1989,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,"James ""Buster"" Douglas Knockout Boxing",zootfly,1990,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Spider-Man,zootfly,1991,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Sonic the Hedgehog,zootfly,1991,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Joe Montana Football,zootfly,1990,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,After Burner II,zootfly,1990,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Capcom,Street Fighter II: Special Champion Edition,zootfly,1993,rabljeno,Sega Genesis,Samo škatla in navodila brez cartridga,"D1, skatla 9",Matej
Računalniška igra,Electronic Arts,Mario Andretti Racing,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Mindscape,Cal Ripken Jr. Baseball,zootfly,1992,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Chakan,zootfly,1992,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Batman Returns,zootfly,1992,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Tradewest,Pro Quarterback,zootfly,1992,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Taz-Mania,zootfly,1992,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Virgin,Cool Spot,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Pro Wrestling: The Mega Cartridge,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Black Belt,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Great Football,zootfly,1987,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Choplifter: The Mega Cartridge,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Captain Silver,zootfly,1989,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Double Dragon,zootfly,1988,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Electronic Arts,Toughman Contest,zootfly,1995,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Electronic Arts,College Football USA 96,zootfly,1995,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Hang On & Safari Hunt: The Combo Cartridge,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Out Run,zootfly,1987,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Action Fighter,zootfly,1986,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Global Defense,zootfly,1988,rabljeno,Sega Master System,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Electronic Arts,Bill Walsh College Football,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,ToeJam & Earl in Panic on Funkotron,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Activision,Pitfall: The Mayan Adventure,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Tengen,Awesome Possum Kicks Dr. Machino's Butt,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Ecco: The TIdes of Time,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Virgin,Aladdin,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,GameTek,Brutal Paws of Fury,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Midway,NBA Jam,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,The Ren & Stimpy Show: Stimpy's Invention,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sony,Mickey Mania: The Timeless Adventures of Mickey Mouse,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Williams Entertainment,Mortal Kombat 3,zootfly,1995,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Absolute Entertainment,Goofy's Hysterical History Tour,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Sonic Spinball,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Sonic the Hedgehog 3,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Core Design,Bubba 'N' Stix,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Electronic Arts,PGA Tour Golf II,zootfly,1992,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sunsoft,Batman The Video Game,zootfly,1989,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,Quackshot,zootfly,1991,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Tengen,Pit-Fighter,zootfly,1991,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Interplay,Boogerman: A Pick and Flick Adventure,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Acclaim Entertainment,Virtual Bart,zootfly,1994,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Interplay,The Lost Vikings,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Sega,The Adventures of Batman & Robin,zootfly,1995,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Electronic Arts,Road Rash,zootfly,1991,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
Računalniška igra,Psygnosis,Wiz'n'Liz,zootfly,1993,rabljeno,Sega Genesis,ROM cart,"D1, skatla 9",Matej
